rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_1115	ammonia transport	0.106159440683432	YDR384C or YGR121C or YNL142W or YPR138C	ammonium[e] + 0.025968 prot_pool[c] => ammonium[c]
r_2132	oxoglutarate/malate exchange	0.0527355489005089	YOR222W or YPL134C	(S)-malate[c] + 2-oxoglutarate[m] + 0.4253 prot_pool[c] => (S)-malate[m] + 2-oxoglutarate[c]
r_1194	L-glutamate transport	0.0124714753876178	YPR021C	L-glutamate[c] + 0.49764 prot_pool[c] => L-glutamate[m]
r_1099	2-oxoadipate and 2-oxoglutarate transport	0.00545398308538956	YOR222W or YPL134C	2-oxoadipic acid[m] + 2-oxoglutarate[c] + 0.38505 prot_pool[c] => 2-oxoadipic acid[c] + 2-oxoglutarate[m]
r_3526_REV	H2O transport, cytoplasm-ER membrane (reversible)	0.00411757312961821	YLL052C or YPR192W	H2O[erm] + 0.21631 prot_pool[c] => H2O[c]
r_1585	2-oxobutanoate transporter	0.00367219629975939	YNL065W or YKL217W	2-oxobutanoate[c] + 0.34421 prot_pool[c] => 2-oxobutanoate[m]
