	Substrate	Uptake	r_2111	r_1634	r_1761	r_1808	r_2033	r_1672	r_1992	r_1654	OxAvail	Media
1	r_1709	NaN	0.338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
2	r_1710	NaN	0.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
3	r_1714	NaN	0.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
4	r_1715	NaN	0.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
5	r_1634	NaN	0.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
6	r_1761	NaN	0.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
7	r_1931	NaN	0.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
8	r_2058	NaN	0.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	aerobic	MIN
