rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0959_EXP_2	pyruvate decarboxylase	1.08859573732002	YLR044C	H+[c] + pyruvate[c] + 0.11781 prot_P06169[c] => acetaldehyde[c] + carbon dioxide[c]
r_0489_EXP_1	glycerol-3-phosphatase	1	YER062C	glycerol 3-phosphate[c] + H2O[c] + 0.6923 prot_P40106[c] => glycerol[c] + phosphate[c]
r_0486_EXP_2	glyceraldehyde-3-phosphate dehydrogenase	0.89875298326401	YJL052W	glyceraldehyde 3-phosphate[c] + NAD[c] + phosphate[c] + 0.34243 prot_P00360[c] => 1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c]
r_0892	phosphoglycerate kinase	0.89875298326401	YCR012W	1,3-bisphospho-D-glycerate[c] + ADP[c] + 0.023155 prot_P00560[c] => 3-phosphonato-D-glycerate(3-)[c] + ATP[c]
r_0893_EXP_2	phosphoglycerate mutase	0.891465941369434	YKL152C	3-phosphonato-D-glycerate(3-)[c] + 0.013315 prot_P00950[c] => 2-phospho-D-glyceric acid[c]
r_0366_EXP_2	enolase	0.891465941369434	YGR254W	2-phospho-D-glyceric acid[c] + 0.056541 prot_P00924[c] => H2O[c] + phosphoenolpyruvate[c]
r_0962_EXP_1	pyruvate kinase	0.884002868961601	YAL038W	ADP[c] + H+[c] + phosphoenolpyruvate[c] + 0.065308 prot_P00549[c] => ATP[c] + pyruvate[c]
r_0569	inorganic diphosphatase	0.114551216047154	YMR267W	diphosphate[m] + H2O[m] + 0.0019435 prot_P28239[c] => H+[m] + 2 phosphate[m]
r_0148_EXP_2	adenylate kinase	0.0943024805914116	YDR226W	AMP[c] + ATP[c] + 0.0010134 prot_P07170[c] => 2 ADP[c]
r_0467	glucose-6-phosphate isomerase	0.0730962157130556	YBR196C	D-glucose 6-phosphate[c] + 0.024858 prot_P12709[c] => D-fructose 6-phosphate[c]
r_0886	phosphofructokinase	0.0678222885316288	YGR240C and YMR205C	ATP[c] + D-fructose 6-phosphate[c] + 0.18686 prot_P16861[c] + 0.18106 prot_P16862[c] => ADP[c] + D-fructose 1,6-bisphosphate[c] + H+[c]
r_0450	fructose-bisphosphate aldolase	0.0678222885316287	YKL060C	D-fructose 1,6-bisphosphate[c] + 0.33864 prot_P14540[c] => dihydroxyacetone phosphate[c] + glyceraldehyde 3-phosphate[c]
r_0471_EXP_2	glutamate dehydrogenase (NADP)	0.0677697439231212	YOR375C	2-oxoglutarate[c] + ammonium[c] + H+[c] + NADPH[c] + 0.00077305 prot_P07262[c] => H2O[c] + L-glutamate[c] + NADP(+)[c]
r_1667	bicarbonate formation	0.0646446067978632	YNL036W	carbon dioxide[c] + H2O[c] + 1.0824e-05 prot_P53615[c] => bicarbonate[c] + H+[c]
r_0091_EXP_2	6-phosphogluconolactonase	0.053521542923509	YHR163W	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.77178 prot_P38858[c] => 6-phospho-D-gluconate[c] + H+[c]
r_0889_EXP_2	phosphogluconate dehydrogenase	0.053521542923509	YHR183W	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.4086 prot_P38720[c] => carbon dioxide[c] + D-ribulose 5-phosphate[c] + NADPH[c]
r_0466	glucose 6-phosphate dehydrogenase	0.053521542923509	YNL241C	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.02525 prot_P11412[c] => 6-O-phosphono-D-glucono-1,5-lactone[c] + H+[c] + NADPH[c]
r_0958_EXP_2	pyruvate carboxylase	0.0468641630455153	YGL062W	ATP[c] + bicarbonate[c] + pyruvate[c] + 0.60231 prot_P11154[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]
r_0984	ribulose 5-phosphate 3-epimerase	0.0317643182235162	YJL121C	D-ribulose 5-phosphate[c] + 0.063551 prot_P46969[c] => D-xylulose 5-phosphate[c]
r_0714_REV	malate dehydrogenase, cytoplasmic (reversible)	0.0315726085957655	YOL126C	H+[c] + NADH[c] + oxaloacetate[c] + 1.1913e-05 prot_P22133[c] => (S)-malate[c] + NAD[c]
r_0112_EXP_2	acetyl-CoA synthetase	0.023499900215786	YLR153C	acetate[c] + ATP[c] + coenzyme A[c] + 0.33606 prot_P52910[c] => acetyl-CoA[c] + AMP[c] + diphosphate[c]
r_0811	nucleoside-diphosphate kinase (ATP:UDP)	0.02272288028922	YKL067W	ATP[c] + UDP[c] + 0.0015988 prot_P36010[c] => ADP[c] + UTP[c]
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	0.0227046255180349	YPL061W	acetaldehyde[c] + H2O[c] + NADP(+)[c] + 0.68705 prot_P54115[c] => acetate[c] + 2 H+[c] + NADPH[c]
r_0982	ribose-5-phosphate isomerase	0.0217331291619904	YOR095C	D-ribulose 5-phosphate[c] + 0.81765 prot_Q12189[c] => ribose-5-phosphate[c]
r_0888_EXP_1	phosphoglucomutase	0.017825156663173	YMR105C	D-glucose 6-phosphate[c] + 0.08151 prot_P37012[c] => D-glucose 1-phosphate[c]
r_1084_EXP_1	UTP-glucose-1-phosphate uridylyltransferase	0.017825156663173	YHL012W	D-glucose 1-phosphate[c] + H+[c] + UTP[c] + 0.42411 prot_P38709[c] => diphosphate[c] + UDP-D-glucose[c]
r_0887	phosphofructokinase (s7p)	0.0177479272137162	YGR240C and YMR205C	ATP[c] + sedoheptulose 7-phosphate[c] + 0.18686 prot_P16861[c] + 0.18106 prot_P16862[c] => ADP[c] + H+[c] + sedoheptulose 1,7-bisphosphate[c]
r_0990	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	0.0177479272137162	YKL060C	sedoheptulose 1,7-bisphosphate[c] + 0.33864 prot_P14540[c] => D-erythrose 4-phosphate[c] + dihydroxyacetone phosphate[c]
r_1049_EXP_2	transketolase 1	0.0177479272137162	YPR074C	D-xylulose 5-phosphate[c] + ribose-5-phosphate[c] + 0.29713 prot_P23254[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]
r_0719	malic enzyme (NADP)	0.0159145673633973	YKL029C	(S)-malate[m] + NADP(+)[m] + 0.15418 prot_P36013[c] => carbon dioxide[m] + NADPH[m] + pyruvate[m]
r_0216_REV	aspartate transaminase (reversible)	0.0152915544497499	YLR027C	L-glutamate[c] + oxaloacetate[c] + 0.03365 prot_P23542[c] => 2-oxoglutarate[c] + L-aspartate[c]
r_0851_REV	phenylalanine transaminase (reversible)	0.0142731998332602	YGL202W	keto-phenylpyruvate[c] + L-glutamate[c] + 0.014144 prot_P53090[c] => 2-oxoglutarate[c] + L-phenylalanine[c]
r_0109	acetyl-CoA carboxylase, reaction	0.0142641755840293	YDL141W and YNR016C	acetyl-CoA[c] + ATP[c] + bicarbonate[c] + 1.0491 prot_P48445[c] + 3.4393 prot_Q00955[c] => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]
