1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	O=C([O-])c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	QKMBYNRMPRKVTO-MNOVXSKESA-K
1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	QOUSHGMTBIIAHR-KEOHHSTQSA-J
1-(5-Phosphoribosyl)-AMP	N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	RTQMRTSPTLIIHM-KEOHHSTQSA-J
1-(5-Phosphoribosyl)-ATP	N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	RKNHJBVBFHDXGR-KEOHHSTQSA-H
1-Pyrroline-5-carboxylate	O=C([O-])[C@@H]1CCC=N1	DWAKNKKXGALPNW-BYPYZUCNSA-M
1-deoxy-D-xylulose 5-phosphate	CC(=O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]	AJPADPZSRRUGHI-RFZPGFLSSA-L
1-dodecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	STTKJLVEXMKLNA-CQSZACIVSA-L
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CO	MDSIZRKJVDMQOQ-GORDUTHDSA-K
1-octadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	LAYXSTYJRSVXIH-HXUWFJFHSA-L
1-tetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCC/C=C\CCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	ABWKYTQKHWCOFM-XITLMJRVSA-L
1-tetradecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	FAZBDRGXCKPVJU-MRXNPFEDSA-L
10-Formyltetrahydrofolate	Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2	AUFGTPPARQZWDO-YPMHNXCESA-L
1D-myo-Inositol 1-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O	INAPMGSXUVUWAF-GCVPSNMTSA-N
1D-myo-Inositol 3-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O	INAPMGSXUVUWAF-LXOASSSBSA-N
1ag3p-SC	[*]OC[C@H](COP(=O)([O-])[O-])O[*]	
2,3,4,5-Tetrahydrodipicolinate	O=C([O-])C1=N[C@H](C(=O)[O-])CCC1	CXMBCXQHOXUCEO-BYPYZUCNSA-L
2,3-Dihydrodipicolinate	O=C([O-])C1=N[C@H](C(=O)[O-])CC=C1	UWOCFOFVIBZJGH-YFKPBYRVSA-L
2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	Nc1nc(O)c(N)c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)n1	OCLCLRXKNJCOJD-UMMCILCDSA-L
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	N=C(CNC=O)NC1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	PMCOGCVKOAOZQM-ZRTZXPPTSA-N
2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])CN2	DGGUVLXVLHAAGT-XINAWCOVSA-J
2-C-methyl-D-erythritol 2,4-cyclodiphosphate	C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O	SFRQRNJMIIUYDI-UHNVWZDZSA-L
2-C-methyl-D-erythritol 4-phosphate	C[C@](O)(CO)[C@H](O)COP(=O)([O-])[O-]	XMWHRVNVKDKBRG-UHNVWZDZSA-L
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O=C([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	PJWIPEXIFFQAQZ-PUFIMZNGSA-K
2-Dehydropantoate	CC(C)(CO)C(=O)C(=O)[O-]	PKVVTUWHANFMQC-UHFFFAOYSA-M
2-Demethylmenaquinol 8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O	FGYPGICSXJEKCG-AENDIINCSA-N
2-Demethylmenaquinone 8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O	GDUBPWSFXUAETN-AENDIINCSA-N
2-Deoxy-D-ribose 5-phosphate	O=P([O-])([O-])OC[C@H]1OC(O)C[C@@H]1O	KKZFLSZAWCYPOC-PYHARJCCSA-L
2-Hydroxy-3-oxopropanoate	O=CC(O)C(=O)[O-]	QWBAFPFNGRFSFB-UHFFFAOYSA-M
2-Inosose	O=C1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O	VYEGBDHSGHXOGT-HYFGLKJPSA-N
2-Isopropylmaleate	CC(C)/C(=C/C(=O)[O-])C(=O)[O-]	NJMGRJLQRLFQQX-HYXAFXHYSA-L
2-Methyl-3-oxopropanoate	CC(C=O)C(=O)[O-]	VOKUMXABRRXHAR-UHFFFAOYSA-M
2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	Cc1ncc(COP(=O)([O-])OP(=O)([O-])[O-])c(N)n1	AGQJQCFEPUVXNK-UHFFFAOYSA-K
2-Methylcitrate	C[C@H](C(=O)[O-])[C@@](O)(CC(=O)[O-])C(=O)[O-]	YNOXCRMFGMSKIJ-NFNCENRGSA-K
2-Oxo-3-hydroxy-4-phosphobutanoate	O=C([O-])C(=O)[C@H](O)COP(=O)([O-])[O-]	MZJFVXDTNBHTKZ-UWTATZPHSA-K
2-Oxobutanoate	CCC(=O)C(=O)[O-]	TYEYBOSBBBHJIV-UHFFFAOYSA-M
2-Oxoglutarate	O=C([O-])CCC(=O)C(=O)[O-]	KPGXRSRHYNQIFN-UHFFFAOYSA-L
2-Phosphoglycolate	O=C([O-])COP(=O)([O-])[O-]	ASCFNMCAHFUBCO-UHFFFAOYSA-K
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C[C@@](CO)(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O	HTJXTKBIUVFUAR-XHIBXCGHSA-J
2-sulfoacetaldehyde	O=CCS(=O)(=O)[O-]	JTJIXCMSHWPJJE-UHFFFAOYSA-M
23dhacoa	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C\CCC(=O)[O-]	ZFXICKRXPZTFPB-FZHFFJAKSA-I
2ombzl	COc1cc(O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O	CZFRMASEEPTBAQ-MYCGWMCTSA-N
2ommbl	COc1cc(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O	HDSGDGSLNMIMKU-KFSSTAEESA-N
2sephchc	C=C(O[C@H]1C=C[C@H](C(=O)CCC(=O)[O-])[C@@H](C(=O)[O-])[C@@H]1O)C(=O)[O-]	XYCATPIYKOARSZ-OAIFWDMCSA-K
3'-AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]1O	LNQVTSROQXJCDD-KQYNXXCUSA-L
3'-GMP	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1	ZDPUTNZENXVHJC-UUOKFMHZSA-L
3'-Phosphoadenylyl sulfate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O	GACDQMDRPRGCTN-KQYNXXCUSA-J
