rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_2117	phenylalanine transaminase	0.0124201603870997	YHR137W	L-phenylalanine[c] + pyruvate[c] + 0.0255 prot_pool[c] => keto-phenylpyruvate[c] + L-alanine[c]
r_0476	glutamine synthetase	0.0111701159255695	YPR035W	ammonium[c] + ATP[c] + L-glutamate[c] + 0.31122 prot_pool[c] => ADP[c] + H+[c] + L-glutamine[c] + phosphate[c]
r_0800	nucleoside diphosphate kinase	0.0100438087940698	YKL067W	ATP[c] + GDP[c] + 0.00025207 prot_pool[c] => ADP[c] + GTP[c]
r_1088_REV	valine transaminase, mitochondiral (reversible)	0.0098468188734708	YHR208W	3-methyl-2-oxobutanoate[m] + L-glutamate[m] + 0.0057725 prot_pool[c] => 2-oxoglutarate[m] + L-valine[m]
r_0005_EXP_3	1,3-beta-glucan synthase	0.00890498823689634	YPR165W and YMR306W	UDP-D-glucose[c] + 2.58 prot_pool[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]
r_0361	dolichyl-phosphate D-mannosyltransferase	0.00845801599403456	YPR183W	dolichyl phosphate[c] + GDP-alpha-D-mannose[c] + 0.018101 prot_pool[c] => dolichyl D-mannosyl phosphate[er] + GDP[c] + H+[c]
r_0722	mannose-1-phosphate guanylyltransferase	0.00845801599403456	YDL055C	D-mannose 1-phosphate[c] + GTP[c] + H+[c] + 0.53037 prot_pool[c] => diphosphate[c] + GDP-alpha-D-mannose[c]
r_0362_EXP_2	dolichyl-phosphate-mannose--protein mannosyltransferase	0.00845801599403456	YDL093W	dolichyl D-mannosyl phosphate[er] + 0.33214 prot_pool[c] => dolichyl phosphate[er] + mannan[er]
r_0723_REV	mannose-6-phosphate isomerase (reversible)	0.00845801599403456	YER003C	D-fructose 6-phosphate[c] + 1.5455 prot_pool[c] => D-mannose 6-phosphate[c]
r_0902_REV	phosphomannomutase (reversible)	0.00845801599403456	YFL045C	D-mannose 6-phosphate[c] + 1.3345 prot_pool[c] => D-mannose 1-phosphate[c]
r_0096	acetohydroxy acid isomeroreductase	0.00776595712933057	YLR355C	2-acetyllactic acid[m] + H+[m] + NADPH[m] + 0.67347 prot_pool[c] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]
r_0097_EXP_2	acetolactate synthase	0.00776595712933057	YMR108W	H+[m] + 2 pyruvate[m] + 0.062796 prot_pool[c] => 2-acetyllactic acid[m] + carbon dioxide[m]
r_0352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.00776595712933057	YJR016C	(R)-2,3-dihydroxy-3-methylbutanoate[m] + 0.42359 prot_pool[c] => 3-methyl-2-oxobutanoate[m] + H2O[m]
r_0917	phosphoserine phosphatase (L-serine)	0.00728704189457834	YGR208W	3-phospho-serine[c] + H2O[c] + 0.0032594 prot_pool[c] => L-serine[c] + phosphate[c]
r_0918	phosphoserine transaminase	0.00728704189457834	YOR184W	3-phospho-hydroxypyruvate[c] + L-glutamate[c] + 5.0608 prot_pool[c] => 2-oxoglutarate[c] + 3-phospho-serine[c]
r_0891_EXP_1	phosphoglycerate dehydrogenase	0.00728704189457833	YER081W	3-phosphonato-D-glycerate(3-)[c] + NAD[c] + 0.026364 prot_pool[c] => 3-phospho-hydroxypyruvate[c] + H+[c] + NADH[c]
r_4570_REV_EXP_1	phosphoglycerate dehydrogenase (reversible)	0.00658864986112138	YIL074C	2-oxoglutarate[c] + H+[c] + NADH[c] + 0.002302 prot_pool[c] => NAD[c] + 2-hydroxyglutarate[c]
r_0157	alanyl-tRNA synthetase	0.00634932386312921	YOR335C	ATP[c] + L-alanine[c] + tRNA(Ala)[c] + 0.091574 prot_pool[c] => Ala-tRNA(Ala)[c] + AMP[c] + diphosphate[c]
r_1087	valine transaminase	0.0061850246419635	YJR148W	2-oxoglutarate[c] + L-valine[c] + 0.0054601 prot_pool[c] => 3-methyl-2-oxobutanoate[c] + L-glutamate[c]
