rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.739009772793255	YBR249C or YDR035W	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] + 0.0081818 prot_pool[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]
r_0996	shikimate dehydrogenase	0.739009772793255	YDR127W	3-dehydroshikimate[c] + H+[c] + NADPH[c] + 0.0020707 prot_pool[c] => NADP(+)[c] + shikimate[c]
r_0039	3-dehydroquinate dehydratase	0.739009772793255	YDR127W	3-dehydroquinate[c] + 0.74376 prot_pool[c] => 3-dehydroshikimate[c] + H2O[c]
r_0040	3-dehydroquinate synthase	0.739009772793255	YDR127W	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + 0.063868 prot_pool[c] => 3-dehydroquinate[c] + phosphate[c]
r_0997	shikimate kinase	0.739009772793255	YDR127W	ATP[c] + shikimate[c] + 0.0324 prot_pool[c] => 3-phosphoshikimic acid[c] + ADP[c] + H+[c]
r_2117	phenylalanine transaminase	0.723967216406443	YHR137W	L-phenylalanine[c] + pyruvate[c] + 0.0255 prot_pool[c] => keto-phenylpyruvate[c] + L-alanine[c]
r_0800	nucleoside diphosphate kinase	0.702500005980108	YKL067W	ATP[c] + GDP[c] + 0.00025207 prot_pool[c] => ADP[c] + GTP[c]
r_0005	1,3-beta-glucan synthase	0.622830592071439	(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)	UDP-D-glucose[c] + 2.58 prot_pool[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]
r_0362	dolichyl-phosphate-mannose--protein mannosyltransferase	0.591568564626232	(YAL023C and YDL095W) or YDL093W or YJR143C or YOR321W	dolichyl D-mannosyl phosphate[er] + 0.33214 prot_pool[c] => dolichyl phosphate[er] + mannan[er]
r_0722	mannose-1-phosphate guanylyltransferase	0.591568564626232	YDL055C	D-mannose 1-phosphate[c] + GTP[c] + H+[c] + 0.53037 prot_pool[c] => diphosphate[c] + GDP-alpha-D-mannose[c]
r_0723_REV	mannose-6-phosphate isomerase (reversible)	0.591568564626232	YER003C	D-fructose 6-phosphate[c] + 1.5455 prot_pool[c] => D-mannose 6-phosphate[c]
r_0902_REV	phosphomannomutase (reversible)	0.591568564626232	YFL045C	D-mannose 6-phosphate[c] + 1.3345 prot_pool[c] => D-mannose 1-phosphate[c]
r_0361	dolichyl-phosphate D-mannosyltransferase	0.591568564626232	YPR183W	dolichyl phosphate[c] + GDP-alpha-D-mannose[c] + 0.018101 prot_pool[c] => dolichyl D-mannosyl phosphate[er] + GDP[c] + H+[c]
r_0891	phosphoglycerate dehydrogenase	0.557062753439901	YER081W or YIL074C	3-phosphonato-D-glycerate(3-)[c] + NAD[c] + 0.026364 prot_pool[c] => 3-phospho-hydroxypyruvate[c] + H+[c] + NADH[c]
r_0917	phosphoserine phosphatase (L-serine)	0.557062753439901	YGR208W	3-phospho-serine[c] + H2O[c] + 0.0032594 prot_pool[c] => L-serine[c] + phosphate[c]
r_0918	phosphoserine transaminase	0.557062753439901	YOR184W	3-phospho-hydroxypyruvate[c] + L-glutamate[c] + 5.0608 prot_pool[c] => 2-oxoglutarate[c] + 3-phospho-serine[c]
