gene_IDs	gene_names	slope	action	essentiality
YLR058C	SHM2	0.406923088959438	KD	nonessential
YFR015C	GSY1	0.300730592315902	KD	nonessential
YJL137C	GLG2	0.300730592315902	KD	nonessential
YKR058W	GLG1	0.300730592315902	KD	nonessential
YLR258W	GSY2	0.300730592315902	KD	nonessential
YGL245W	GUS1	0.292119078157773	KD	essential
YLL018C	DPS1	0.28795701227895	KD	essential
YJR148W	BAT2	0.286892293726738	KD	essential
YCL018W	LEU2	0.286892293726738	KD	essential
YGL009C	LEU1	0.286892293726738	KD	essential
YNL104C	LEU4	0.286892293726738	KD	nonessential
YOR108W	LEU9	0.286892293726738	KD	nonessential
YPL160W	CDC60	0.286892293726738	KD	essential
YBR121C	GRS1	0.281084745854585	KD	nonessential
YPR081C	GRS2	0.281084745854585	KD	nonessential
YBL068W	PRS4	0.278590249426947	KD	nonessential
YER099C	PRS2	0.278590249426947	KD	nonessential
YHL011C	PRS3	0.278590249426947	KD	nonessential
YKL181W	PRS1	0.278590249426947	KD	nonessential
YOL061W	PRS5	0.278590249426947	KD	nonessential
YDR037W	KRS1	0.277019459459445	KD	essential
YIR034C	LYS1	0.277019459459445	KD	essential
YBR115C	LYS2	0.277019459459445	KD	essential
YDL131W	LYS21	0.277019459459445	KD	nonessential
YDL182W	LYS20	0.277019459459445	KD	nonessential
YGL154C	LYS5	0.277019459459445	KD	essential
YNR050C	LYS9	0.277019459459445	KD	essential
YDR234W	LYS4	0.277019459459444	KD	essential
YER152C	YER152C	0.277019459459444	KD	nonessential
YIL094C	LYS12	0.277019459459444	KD	essential
YJL060W	BNA3	0.277019459459444	KD	nonessential
YPL262W	FUM1	0.261490728514397	KD	nonessential
YGR094W	VAS1	0.256112350581651	KD	essential
