rxn_IDs	rxnNames	slope	grRules	rxn_formula
PGM_EXP_4	phosphoglycerate mutase	62.4698809328798	cg3506	3-Phospho-D-glycerate[c] => D-Glycerate 2-phosphate[c]
RPI_REV	ribose-5-phosphate isomerase (reversible)	57.7872884891289	Cgl2423	D-Ribulose 5-phosphate[c] + 0.0016771 prot_Q8NMZ0[c] => alpha-D-Ribose 5-phosphate[c]
TALA	transaldolase	52.2323905504654	Cgl1575	Glyceraldehyde 3-phosphate[c] + Sedoheptulose 7-phosphate[c] + 4.0211 prot_Q8NQ64[c] => D-Erythrose 4-phosphate[c] + D-Fructose 6-phosphate[c]
TKT1	transketolase	52.2323905504654	Cgl1574	alpha-D-Ribose 5-phosphate[c] + D-Xylulose 5-phosphate[c] + 0.47905 prot_Q8NQ65[c] => Glyceraldehyde 3-phosphate[c] + Sedoheptulose 7-phosphate[c]
TKT2	transketolase	50.8260402343297	Cgl1575	D-Erythrose 4-phosphate[c] + D-Xylulose 5-phosphate[c] + 0.48694 prot_Q8NQ64[c] => D-Fructose 6-phosphate[c] + Glyceraldehyde 3-phosphate[c]
GLUDy	glutamate dehydrogenase (NADP)	37.3760194627489	Cgl2079	2-Oxoglutarate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + Ammonium[c] + 0.010952 prot_P31026[c] => L-Glutamate[c] + H2O[c] + Nicotinamide adenine dinucleotide phosphate[c]
PDH	pyruvate dehydrogenase	32.2480630488717	Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248	Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] + Pyruvate[c] + 0.011033 prot_Q8NTE1[c] + 0.029332 prot_Q8NRC3[c] + 0.18533 prot_Q8NNJ2[c] + 0.022397 prot_Q8NNF6[c] => Acetyl-CoA[c] + CO2[c] + Nicotinamide adenine dinucleotide - reduced[c]
MCOATA_EXP_3	Malonyl-CoA-ACP transacylase	19.0802002671723	cg3050	acyl carrier protein[c] + Malonyl-CoA[c] => Coenzyme A[c] + Malonyl-[acyl-carrier protein][c]
HCO3E	HCO3 equilibration reaction	16.0487801847908	Cgl2670	CO2[c] + H2O[c] + 5.0802e-07 prot_Q8NMA8[c] => H+[c] + Bicarbonate[c]
PYRC	pyruvate carboxylase	14.467547800204	Cgl0689	ATP[c] + Bicarbonate[c] + Pyruvate[c] + 0.053394 prot_H7C7K2[c] => ADP[c] + H+[c] + Oxaloacetate[c] + Phosphate[c]
ADK1	adenylate kinase	14.1328576846401	Cgl0556	AMP[c] + ATP[c] + 0.033807 prot_P49973[c] => 2 ADP[c]
ASPTA_REV	aspartate transaminase (reversible)	11.0991495186664	Cgl0240	L-Glutamate[c] + Oxaloacetate[c] + 0.0090336 prot_Q8NTR2[c] => 2-Oxoglutarate[c] + L-Aspartate[c]
FBA	fructose-bisphosphate aldolase	8.87325583815931	Cgl2770	D-Fructose 1,6-bisphosphate[c] + 0.081844 prot_P19537[c] => Dihydroxyacetone phosphate[c] + Glyceraldehyde 3-phosphate[c]
PFK	phosphofructokinase	8.87325583815931	Cgl1250	ATP[c] + D-Fructose 6-phosphate[c] + 0.28014 prot_Q8NR14[c] => ADP[c] + D-Fructose 1,6-bisphosphate[c] + H+[c]
TPI	triose-phosphate isomerase	8.49831248712398	Cgl1586	Dihydroxyacetone phosphate[c] + 8.8374 prot_P19583[c] => Glyceraldehyde 3-phosphate[c]
ACONTa	aconitase (half-reaction A, Citrate hydro-lyase)	7.72433909691676	Cgl1540	Citrate[c] + 0.11365 prot_Q8NQ98[c] => cis-Aconitate[c] + H2O[c]
ACONTb	aconitase (half-reaction B, Isocitrate hydro-lyase)	7.72433909691676	Cgl1540	cis-Aconitate[c] + H2O[c] + 0.0055833 prot_Q8NQ98[c] => Isocitrate[c]
CS_EXP_1	citrate synthase	7.72433909691676	Cgl0696	Acetyl-CoA[c] + H2O[c] + Oxaloacetate[c] + 0.029719 prot_Q8NSH7[c] => Citrate[c] + Coenzyme A[c] + H+[c]
ICDHyr	isocitrate dehydrogenase (NADP)	7.72433909691676	Cgl0664	Isocitrate[c] + Nicotinamide adenine dinucleotide phosphate[c] + 0.51364 prot_P50216[c] => 2-Oxoglutarate[c] + CO2[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c]
GLNS_EXP_1	glutamine synthetase	7.18065194265582	Cgl2214	ATP[c] + L-Glutamate[c] + Ammonium[c] + 0.27104 prot_Q79VE3[c] => ADP[c] + L-Glutamine[c] + H+[c] + Phosphate[c]
PGCD	phosphoglycerate dehydrogenase	5.88811311858886	Cgl1284	3-Phospho-D-glycerate[c] + Nicotinamide adenine dinucleotide[c] + 0.013537 prot_Q8NQY7[c] => 3-Phosphohydroxypyruvate[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c]
PSERT	phosphoserine transaminase	5.88811311858886	Cgl0828	3-Phosphohydroxypyruvate[c] + L-Glutamate[c] + 0.46554 prot_Q8NS51[c] => 2-Oxoglutarate[c] + O-Phospho-L-serine[c]
PSP_L	phosphoserine phosphatase (L-serine)	5.88811311858886	Cgl2522	H2O[c] + O-Phospho-L-serine[c] + 0.19799 prot_Q8NMP4[c] => Phosphate[c] + L-Serine[c]
NDPK2	nucleoside-diphosphate kinase (ATP:UDP)	5.32948166975028	Cgl2370	ATP[c] + UDP[c] + 0.0015403 prot_Q8NN43[c] => ADP[c] + UTP[c]
ALATA_L	L-alanine transaminase	4.98029859489026	Cgl2844	L-Glutamate[c] + Pyruvate[c] + 0.039871 prot_Q8NLU2[c] => 2-Oxoglutarate[c] + L-Alanine[c]
ASAD_REV	aspartate-semialdehyde dehydrogenase (reversible)	4.62294019413614	Cgl0252	4-Phospho-L-aspartate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.23415 prot_P0C1D8[c] => L-Aspartate 4-semialdehyde[c] + Nicotinamide adenine dinucleotide phosphate[c] + Phosphate[c]
ASPK	aspartokinase	4.62294019413614	Cgl0251	L-Aspartate[c] + ATP[c] + 0.19296 prot_P26512[c] => 4-Phospho-L-aspartate[c] + ADP[c]
FUM	fumarase	4.35594081537915	Cgl1010	Fumarate[c] + H2O[c] + 0.001821 prot_Q8NRN8[c] => L-Malate[c]
MDH	malate dehydrogenase	4.35594081537915	Cgl2380	L-Malate[c] + Nicotinamide adenine dinucleotide[c] + 0.00052621 prot_Q8NN33[c] => H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + Oxaloacetate[c]
MTHFC	methenyltetrahydrofolate cyclohydrolase	3.56645278755032	Cgl0648	H2O[c] + 5,10-Methenyltetrahydrofolate[c] + 0.14255 prot_Q8NSM0[c] => 10-Formyltetrahydrofolate[c] + H+[c]
MTHFD	methylenetetrahydrofolate dehydrogenase (NADP)	3.56645278755032	Cgl0648	5,10-Methylenetetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate[c] + 0.22078 prot_Q8NSM0[c] => 5,10-Methenyltetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c]
GHMT2r	glycine hydroxymethyltransferase, reversible	3.51928523968998	Cgl0996	L-Serine[c] + 5,6,7,8-Tetrahydrofolate[c] + 0.0018926 prot_Q93PM7[c] => Glycine[c] + H2O[c] + 5,10-Methylenetetrahydrofolate[c]
HSDy_REV	homoserine dehydrogenase (NADPH) (reversible)	3.23635760216961	Cgl1183	L-Aspartate 4-semialdehyde[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.011188 prot_P08499[c] => L-Homoserine[c] + Nicotinamide adenine dinucleotide phosphate[c]
PRPPS	phosphoribosylpyrophosphate synthetase	2.93711645851839	Cgl0942	ATP[c] + alpha-D-Ribose 5-phosphate[c] + 0.1151 prot_Q8NRU9[c] => AMP[c] + H+[c] + 5-Phospho-alpha-D-ribose 1-diphosphate[c]
HSK	homoserine kinase	2.77965351714546	Cgl1183 and Cgl1184	ATP[c] + L-Homoserine[c] + 4.8086 prot_P08499[c] + 3.3778 prot_P07128[c] => ADP[c] + H+[c] + O-Phospho-L-homoserine[c]
THRS	threonine synthase	2.77965351714546	Cgl2220	H2O[c] + O-Phospho-L-homoserine[c] + 0.74313 prot_P23669[c] => Phosphate[c] + L-Threonine[c]
ACLS	acetolactate synthase	2.76625645294228	Cgl1271 and Cgl1272	H+[c] + 2 Pyruvate[c] + 3.8621 prot_P42463[c] + 1.0833 prot_Q79VG4[c] => (S)-2-Acetolactate[c] + CO2[c]
DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	2.76625645294228	Cgl1268	(R)-2,3-Dihydroxy-3-methylbutanoate[c] + 0.12182 prot_Q8NQZ9[c] => 3-Methyl-2-oxobutanoate[c] + H2O[c]
KARA1_REV	ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate) (reversible)	2.76625645294228	Cgl1273	(S)-2-Acetolactate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 18.1331 prot_Q57179[c] => (R)-2,3-Dihydroxy-3-methylbutanoate[c] + Nicotinamide adenine dinucleotide phosphate[c]
NDPK1	nucleoside-diphosphate kinase (ATP:GDP)	2.64768273825504	Cgl2370	ATP[c] + GDP[c] + 0.0040633 prot_Q8NN43[c] => ADP[c] + GTP[c]
