rxn_IDs	rxnNames	slope	grRules	rxn_formula
ATPS4rpp	ATP synthase (four protons for one ATP)	417.70351571858	Cgl1213 and Cgl1211 and Cgl1210 and Cgl1208 and Cgl1212 and Cgl1209 and Cgl1207 and Cgl1206	ADP[c] + 4 H+[e] + Phosphate[c] + 0.00029588 prot_Q8NR51[c] + 7.9111e-05 prot_H7C6C1[c] + 0.00020545 prot_Q79VG9[c] + 0.0002813 prot_Q7DIC8[c] + 0.0017166 prot_Q79VG7[c] + 0.00034808 prot_Q79VG6[c] + 0.001535 prot_P42464[c] + 0.00012743 prot_Q9ETA7[c] => ATP[c] + H2O[c] + 3 H+[c]
CYTBO3_4pp	cytochrome oxidase bo3 (ubiquinol-8: 4 protons)	350.503369204978	Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192	4 H+[c] + 0.5 O2[c] + Ubiquinol-8[c] + 9.873e-05 prot_Q9AEL8[c] + 6.8388e-05 prot_Q8NNK3[c] + 0.00017436 prot_Q8NNK2[c] + 0.00028641 prot_Q79VD7[c] => H2O[c] + 4 H+[e] + Ubiquinone-8[c]
NADH16pp	NADH dehydrogenase (ubiquinone-8 & 3 protons)	104.914756064233	Cgl2729 and Cgl2731 and Cgl0269	4 H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + Ubiquinone-8[c] + 0.011578 prot_Q8NTN7[c] + 0.012395 prot_Q8NM51[c] + 0.0066849 prot_Q8NM49[c] => 3 H+[e] + Nicotinamide adenine dinucleotide[c] + Ubiquinol-8[c]
NH4tpp_EXP_2	ammonia reversible transport	47.8933031891421	Cgl1583	Ammonium[e] + 0.055486 prot_P54146[c] => Ammonium[c]
Kt2pp	potassium transport in via proton symport	6.95418448441554	Cgl0712	H+[e] + potassium[e] + 0.46732 prot_Q8NSG3[c] => H+[c] + potassium[c]
PIuabcpp	phosphate transport via ABC system (uptake)	2.72810566735062	Cgl2575 and Cgl2572 and Cgl2573 and Cgl2574	ATP[c] + H2O[c] + Phosphate[e] + 2.8568 prot_Q8NMK1[c] + 3.315 prot_Q8NMK0[c] + 3.6156 prot_Q8NMJ9[c] + 3.9276 prot_Q8NMJ8[c] => ADP[c] + H+[c] + 2 Phosphate[c]
