rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0959	pyruvate decarboxylase	1.09209071961828	YGR087C or YLR044C or YLR134W	H+[c] + pyruvate[c] + 0.11781 prot_pool[c] => acetaldehyde[c] + carbon dioxide[c]
r_0489	glycerol-3-phosphatase	1	YER062C or YIL053W	glycerol 3-phosphate[c] + H2O[c] + 0.6923 prot_pool[c] => glycerol[c] + phosphate[c]
r_0486	glyceraldehyde-3-phosphate dehydrogenase	0.892611778827584	YGR192C or YJL052W or YJR009C	glyceraldehyde 3-phosphate[c] + NAD[c] + phosphate[c] + 0.34243 prot_pool[c] => 1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c]
r_0892	phosphoglycerate kinase	0.892611778827584	YCR012W	1,3-bisphospho-D-glycerate[c] + ADP[c] + 0.023155 prot_pool[c] => 3-phosphonato-D-glycerate(3-)[c] + ATP[c]
r_0366	enolase	0.885473807706475	YPL281C or YGR254W or YHR174W or YMR323W or YOR393W	2-phospho-D-glyceric acid[c] + 0.056541 prot_pool[c] => H2O[c] + phosphoenolpyruvate[c]
r_0893	phosphoglycerate mutase	0.885473807706475	YOR283W or YKL152C	3-phosphonato-D-glycerate(3-)[c] + 0.013315 prot_pool[c] => 2-phospho-D-glyceric acid[c]
r_0962	pyruvate kinase	0.878150434032742	YAL038W or YOR347C	ADP[c] + H+[c] + phosphoenolpyruvate[c] + 0.065308 prot_pool[c] => ATP[c] + pyruvate[c]
r_0569	inorganic diphosphatase	0.123043754858775	YMR267W	diphosphate[m] + H2O[m] + 0.0019435 prot_pool[c] => H+[m] + 2 phosphate[m]
r_0148	adenylate kinase	0.0926022085205204	YDL166C or YDR226W	AMP[c] + ATP[c] + 0.0010134 prot_pool[c] => 2 ADP[c]
r_0467	glucose-6-phosphate isomerase	0.0707870069283345	YBR196C	D-glucose 6-phosphate[c] + 0.024858 prot_pool[c] => D-fructose 6-phosphate[c]
r_0471	glutamate dehydrogenase (NADP)	0.0665138259582556	YAL062W or YOR375C	2-oxoglutarate[c] + ammonium[c] + H+[c] + NADPH[c] + 0.00077305 prot_pool[c] => H2O[c] + L-glutamate[c] + NADP(+)[c]
r_0886	phosphofructokinase	0.0659254583537952	YGR240C and YMR205C	ATP[c] + D-fructose 6-phosphate[c] + 0.36793 prot_pool[c] => ADP[c] + D-fructose 1,6-bisphosphate[c] + H+[c]
r_0450	fructose-bisphosphate aldolase	0.065925458353795	YKL060C	D-fructose 1,6-bisphosphate[c] + 0.33864 prot_pool[c] => dihydroxyacetone phosphate[c] + glyceraldehyde 3-phosphate[c]
r_1667	bicarbonate formation	0.0635466079608835	YNL036W	carbon dioxide[c] + H2O[c] + 1.0824e-05 prot_pool[c] => bicarbonate[c] + H+[c]
r_0091	6-phosphogluconolactonase	0.0515787179908119	YGR248W or YHR163W	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.77178 prot_pool[c] => 6-phospho-D-gluconate[c] + H+[c]
