	μ(h-1)	Glucose
TG1	0.04 	-0.48 
TG1	0.07 	-0.73 
TG1	0.13 	-1.40 
TG1	0.15 	-1.59 
TG1	0.17 	-1.80 
TG1	0.20 	-2.08 
TG1	0.27 	-2.79 
TG1	0.28 	-2.81 
TG1	0.30 	-3.01 
TG1	0.35 	-3.36 
TG1	0.38 	-3.55 
TG1	0.39 	-3.57 
TG1	0.40 	-4.01 
MG1655	0.20 	-2.80 
BL21	0.76 	-8.01 
C	0.83 	-9.86 
Crooks	0.96 	-12.47 
DH5α	0.77 	-9.67 
MG1655	0.73 	-9.53 
W	0.97 	-9.90 
W3110	0.61 	-6.65 
