(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN	CKPBBEOJHAPPBT-HXUWFJFHSA-N
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]	KIHAGWUUUHJRMS-JOCHJYFZSA-N
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]	WAYKKNOEMJFLDI-UHFFFAOYSA-N
2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO	NHYJQQUDLXESED-RBUKOAKNSA-M
2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO	JPZRBXGDTBKBHT-UHFFFAOYSA-M
2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO	ODJYINYQGFIIRK-LEWJYISDSA-M
2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(CO)O	ZYKIFISVQNGKFE-OZAIVSQSSA-M
2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO	OUQWQZICCOQXOG-UHFFFAOYSA-M
2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])CN2	DGGUVLXVLHAAGT-XINAWCOVSA-J
2-Aminomalonate semialdehyde	[NH3+][C@@H](C=O)C(=O)[O-]	XMTCKNXTTXDPJX-REOHCLBHSA-N
2-C-methyl-D-erythritol 2,4-cyclodiphosphate	C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O	SFRQRNJMIIUYDI-UHNVWZDZSA-L
2-C-methyl-D-erythritol 4-phosphate	C[C@](O)(CO)[C@H](O)COP(=O)([O-])[O-]	XMWHRVNVKDKBRG-UHNVWZDZSA-L
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O=C([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	PJWIPEXIFFQAQZ-PUFIMZNGSA-K
2-Dehydro-3-deoxy-D-galactonate	O=C([O-])C(=O)C[C@@H](O)[C@H](O)CO	WPAMZTWLKIDIOP-NQXXGFSBSA-M
2-Dehydro-3-deoxy-D-galactonate 6-phosphate	O=C([O-])C(=O)C[C@@H](O)[C@H](O)COP(=O)([O-])[O-]	OVPRPPOVAXRCED-NQXXGFSBSA-K
2-Dehydro-3-deoxy-D-gluconate	O=C([O-])C(=O)C[C@H](O)[C@H](O)CO	WPAMZTWLKIDIOP-WVZVXSGGSA-M
2-Dehydro-3-deoxy-D-gluconate 6-phosphate	O=C([O-])C(=O)C[C@H](O)[C@H](O)COP(=O)([O-])[O-]	OVPRPPOVAXRCED-WVZVXSGGSA-K
2-Dehydro-L-gulonate	C(C(C(C(C(=O)C(=O)[O-])O)O)O)O	VBUYCZFBVCCYFD-NUNKFHFFSA-M
2-Dehydropantoate	CC(C)(CO)C(=O)C(=O)[O-]	PKVVTUWHANFMQC-UHFFFAOYSA-M
2-Demethylmenaquinol 8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O	FGYPGICSXJEKCG-AENDIINCSA-N
2-Demethylmenaquinone 8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O	GDUBPWSFXUAETN-AENDIINCSA-N
2-Deoxy-D-ribose 1-phosphate	O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1	KBDKAJNTYKVSEK-VPENINKCSA-L
2-Deoxy-D-ribose 5-phosphate	O=CC[C@H](O)[C@H](O)COP(=O)(O)O	ALQNUOMIEBHXQG-CRCLSJGQSA-N
2-Hydroxy-3-oxopropanoate	O=CC(O)C(=O)[O-]	QWBAFPFNGRFSFB-UHFFFAOYSA-M
2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate	O=C([O-])CCC(=O)/C=C/C=C(\O)C(=O)[O-]	RFENOVFRMPRRJI-YDCWOTKKSA-L
2-Isopropylmaleate	CC(C)/C(=C/C(=O)[O-])C(=O)[O-]	NJMGRJLQRLFQQX-HYXAFXHYSA-L
2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	Cc1ncc(COP(=O)([O-])OP(=O)([O-])[O-])c(N)n1	AGQJQCFEPUVXNK-UHFFFAOYSA-K
2-Methylcitrate	C[C@H](C(=O)[O-])[C@](O)(CC(=O)[O-])C(=O)[O-]	YNOXCRMFGMSKIJ-WVBDSBKLSA-K
2-N-acetamidomethylphosphonate	CC(=O)NCP(=O)(O)[O-]	FDNUAHPLMXZWLS-UHFFFAOYSA-M
2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	COc1c(O)c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O	QURLIMHPCRKMJP-WDXILIIOSA-N
2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol	COc1cc(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O	HDSGDGSLNMIMKU-KFSSTAEESA-N
2-Octaprenyl-6-hydroxyphenol	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O	YNPGYMZVNLIZLD-BQFKTQOQSA-N
2-Octaprenyl-6-methoxy-1,4-benzoquinol	COc1cc(O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O	CZFRMASEEPTBAQ-MYCGWMCTSA-N
2-Octaprenyl-6-methoxyphenol	COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O	MARGKPIMNMASKJ-CMAXTTDKSA-N
2-Octaprenylphenol	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O	VUNQJPPPTJIREN-CMAXTTDKSA-N
2-Oxo-3-hydroxy-4-phosphobutanoate	O=C([O-])C(=O)[C@H](O)COP(=O)([O-])[O-]	MZJFVXDTNBHTKZ-UWTATZPHSA-K
2-Oxobutanoate	CCC(=O)C(=O)[O-]	TYEYBOSBBBHJIV-UHFFFAOYSA-M
2-Oxoglutarate	O=C([O-])CCC(=O)C(=O)[O-]	KPGXRSRHYNQIFN-UHFFFAOYSA-L
2-Oxopent-4-enoate	C=CCC(=O)C(=O)[O-]	NOXRYJAWRSNUJD-UHFFFAOYSA-M
2-Phosphoglycolate	O=C([O-])COP(=O)([O-])[O-]	ASCFNMCAHFUBCO-UHFFFAOYSA-K
2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	O=C([O-])CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)[O-]	QJYRAJSESKVEAE-PSASIEDQSA-L
2-dehydro-3-deoxy-D-arabinonate	C(C(CO)O)C(=O)C(=O)[O-]	UQIGQRSJIKIPKZ-VKHMYHEASA-M
2-hexadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O	LPQBQFLKBCPNAV-GOSISDBHSA-N
2-hydroxy-6-ketononatrienedioate	O=C([O-])/C=C/C(=O)/C=C\C=C(\O)C(=O)[O-]	WCJYZUFKKTYNLB-PFCALIJCSA-L
2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)C4=C(CC=CC=C4)O)O	YDSDSXNAKPLRMX-SXQYHYLKSA-J
2-hydroxycyclohepta-1,4,6-triene-1-carboxylate	C1C=CC=CC(=C1[O-])C(=O)O	FIQAFBCVOCRLKV-UHFFFAOYSA-M
2-hydroxyethyldisulfide	C(CSSCCO)O	KYNFOMQIXZUKRK-UHFFFAOYSA-N
2-octadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O	RPAOEHFOGLEBTJ-HXUWFJFHSA-N
2-oxepin-2(3H)-ylideneacetyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C1/CC=CC=CO1	ZQZCWPBSHHYCMM-BETJHJQZSA-J
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C[C@@](CO)(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O	HTJXTKBIUVFUAR-XHIBXCGHSA-J
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	C=C(O[C@H]1C=C[C@H](C(=O)CCC(=O)[O-])[C@@H](C(=O)[O-])[C@@H]1O)C(=O)[O-]	XYCATPIYKOARSZ-OAIFWDMCSA-K
2-tetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCC(=O)OC(CO)COP(=O)([O-])[O-]	KKNDQWWVDATMLV-XITLMJRVSA-L
3  AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]1O	LNQVTSROQXJCDD-KQYNXXCUSA-L
3  CMP	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)n1	UOOOPKANIPLQPU-XVFCMESISA-L
3  UMP	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1	FOGRQMPFHUHIGU-XVFCMESISA-L
3',5'-Cyclic	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)([O-])O[C@H]3[C@H]2O)c(=O)[nH]1	ZOOGRGPOEVQQDX-UUOKFMHZSA-M
3'-Phosphoadenylyl sulfate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O	GACDQMDRPRGCTN-KQYNXXCUSA-J
3,4-Dihydroxyphenylacetaldehyde	O=CCc1ccc(O)c(O)c1	IADQVXRMSNIUEL-UHFFFAOYSA-N
3,4-dihydroxy-2-butanone 4-phosphate	CC(=O)C(O)COP(=O)(O)O	OKYHYXLCTGGOLM-UHFFFAOYSA-N
3,4-dihydroxyphenylacetyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC4=CC(=C(C=C4)O)O)O	BWFUCVJSCADRJW-CECATXLMSA-J
3-(2,3-Dihydroxyphenyl)propanoate	O=C([O-])CCc1cccc(O)c1O	QZDSXQJWBGMRLU-UHFFFAOYSA-M
3-(3-hydroxy-phenyl)propionate	O=C([O-])CCc1cccc(O)c1	QVWAEZJXDYOKEH-UHFFFAOYSA-M
3-(4-Hydroxyphenyl)pyruvate	O=C([O-])C(=O)Cc1ccc(O)cc1	KKADPXVIOXHVKN-UHFFFAOYSA-M
3-(Imidazol-4-yl)-2-oxopropyl phosphate	O=C(COP(=O)([O-])[O-])Cc1c[nH]cn1	YCFFMSOLUMRAMD-UHFFFAOYSA-L
3-4-Dihydroxyphenylacetate	O=C([O-])Cc1ccc(O)c(O)c1	CFFZDZCDUFSOFZ-UHFFFAOYSA-M
3-Aminoacrylate	N/C=C\C(=O)[O-]	YTLYLLTVENPWFT-UPHRSURJSA-M
3-Carboxy-2-hydroxy-4-methylpentanoate	CC(C)[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]	RNQHMTFBUSSBJQ-CRCLSJGQSA-L
3-Carboxy-3-hydroxy-4-methylpentanoate	CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]	BITYXLXUCSKTJS-ZETCQYMHSA-L
3-Carboxy-4-methyl-2-oxopentanoate	CC(C)[C@H](C(=O)[O-])C(=O)C(=O)[O-]	HIIZAGQWABAMRR-BYPYZUCNSA-L
3-Dehydro-L-gulonate	O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO	WTAHRPBPWHCMHW-LWKDLAHASA-M
3-Dehydroquinate	O=C1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O	WVMWZWGZRAXUBK-SYTVJDICSA-M
3-Dehydroshikimate	O=C([O-])C1=CC(=O)[C@@H](O)[C@H](O)C1	SLWWJZMPHJJOPH-PHDIDXHHSA-M
3-Deoxy-D-manno-2-octulosonate	O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O1	NNLZBVFSCVTSLA-HXUQBWEZSA-M
3-Deoxy-D-manno-octulosonate 8-phosphate	O=C(O)C(=O)C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	RTNBXJBOAIDPME-SHUUEZRQSA-N
3-Hydroxybenzoate	C1=CC(=CC(=C1)[O-])C(=O)O	IJFXRHURBJZNAO-UHFFFAOYSA-M
3-Hydroxypropanal	O=CCCO	AKXKFZDCRYJKTF-UHFFFAOYSA-N
3-Hydroxypropanoate	O=C([O-])CCO	ALRHLSYJTWAHJZ-UHFFFAOYSA-M
3-Methyl-2-oxobutanoate	CC(C)C(=O)C(=O)[O-]	QHKABHOOEWYVLI-UHFFFAOYSA-M
3-Octaprenyl-4-hydroxybenzoate	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])ccc1O	UTIBHEBNILDQKX-LQOKPSQISA-M
3-Oxoadipyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)[O-]	VKKKAAPGXHWXOO-BIEWRJSYSA-I
3-Oxodecanoyl-CoA	CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	AZCVXMAPLHSIKY-HSJNEKGZSA-J
3-Oxodecanoyl-[acyl-carrier protein]	CCCCCCCC(=O)CC(=O)S[*]	
3-Oxododecanoyl-CoA	CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	HQANBZHVWIDNQZ-GMHMEAMDSA-J
3-Oxododecanoyl-[acyl-carrier protein]	CCCCCCCCCC(=O)CC(=O)S[*]	
3-Oxohexadecanoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	NQMPLXPCRJOSHL-BBECNAHFSA-J
3-Oxohexadecanoyl-[acyl-carrier protein]	CCCCCCCCCCCCCC(=O)CC(=O)S[*]	
3-Oxohexanoyl-CoA	CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	NFOYYXQAVVYWKV-HDRQGHTBSA-J
3-Oxohexanoyl-[acyl-carrier protein]	CCCC(=O)CC(=O)S[*]	
3-Oxooctadecanoyl-CoA	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	LGOGWHDPDVAUNY-LFZQUHGESA-J
3-Oxooctadecanoyl-[acyl-carrier protein]	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
3-Oxooctanoyl-CoA	CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	WPIVBCGRGVNDDT-CECATXLMSA-J
3-Oxooctanoyl-[acyl-carrier protein]	CCCCCC(=O)CC(=O)S[*]	
3-Oxotetradecanoyl-CoA	CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	IQNFBGHLIVBNOU-QSGBVPJFSA-J
3-Oxotetradecanoyl-[acyl-carrier protein]	CCCCCCCCCCCC(=O)CC(=O)S[*]	
3-Phospho-D-glycerate	O=C([O-])[C@H](O)COP(=O)([O-])[O-]	OSJPPGNTCRNQQC-UWTATZPHSA-K
3-Phospho-D-glyceroyl phosphate	O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-]	LJQLQCAXBUHEAZ-UWTATZPHSA-J
3-Phosphohydroxypyruvate	O=C([O-])C(=O)COP(=O)([O-])[O-]	LFLUCDOSQPJJBE-UHFFFAOYSA-K
3-Sulfino-L-alanine	[NH3+][C@@H](CS(=O)[O-])C(=O)[O-]	ADVPTQAUNPRNPO-REOHCLBHSA-M
3-hydroxy-5-phosphonooxypentane-2,4-dione	CC(=O)C(C(=O)COP(=O)(O)O)O	AKHNGSPNHAFBII-UHFFFAOYSA-N
3-hydroxybenzoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC(=CC=C4)O)O	JTBCMZVWWNFUFR-TYHXJLICSA-N
3-hydroxycinnamic acid	O=C(O)C=Cc1cccc(O)c1	KKSDGJDHHZEWEP-UHFFFAOYSA-N
3-keto-L-gulonate-6-phosphate	O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]	BDUIIKXSXFDPEC-LWKDLAHASA-K
3-oxo-5,6-dehydrosuberyl-CoA	[H]C(CC(=O)O)=C([H])CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	IFFFDKYRRUVOFP-NOQDIWQESA-N
3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	CCCCCCC=CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	CCCCCCC=CCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]	C=CCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
4,5-dihydroxy-2,3-pentanedione	CC(=O)C(=O)[C@@H](O)CO	UYTRITJAZOPLCZ-BYPYZUCNSA-N
4-(1-D-Ribitylamino)-5-aminouracil	Nc1c(NC[C@H](O)[C@H](O)[C@H](O)CO)[nH]c(=O)[nH]c1=O	XKQZIXVJVUPORE-RPDRRWSUSA-N
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C[C@](O)(CO)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O	YFAUKWZNPVBCFF-XHIBXCGHSA-L
4-Amino-2-methyl-5-phosphomethylpyrimidine	[H]OP(=O)(O[H])OC([H])([H])c1c([H])nc(C([H])([H])[H])nc1N([H])[H]	PKYFHKIYHBRTPI-UHFFFAOYSA-N
4-Amino-5-hydroxymethyl-2-methylpyrimidine	Cc1ncc(CO)c(N)n1	VUTBELPREDJDDH-UHFFFAOYSA-N
4-Aminobenzoate	Nc1ccc(C(=O)[O-])cc1	ALYNCZNDIQEVRV-UHFFFAOYSA-M
4-Aminobutanal	[NH3+]CCCC=O	DZQLQEYLEYWJIB-UHFFFAOYSA-O
4-Aminobutanoate	[NH3+]CCCC(=O)[O-]	BTCSSZJGUNDROE-UHFFFAOYSA-N
4-Deoxy-L-threo-5-hexosulose uronate	C(C(C(C=O)O)O)C(=O)C(=O)[O-]	IMUGYKFHMJLTOU-UCORVYFPSA-M
4-Hydroxy-2-oxopentanoate	C[C@H](O)CC(=O)C(=O)[O-]	HFKQINMYQUXOCH-VKHMYHEASA-M
4-Hydroxy-L-threonine	[NH3+][C@H](C(=O)[O-])[C@H](O)CO	JBNUARFQOCGDRK-GBXIJSLDSA-N
4-Hydroxybenzoate	O=C([O-])c1ccc(O)cc1	FJKROLUGYXJWQN-UHFFFAOYSA-M
4-Hydroxyphenylacetaldehyde	O=CCc1ccc(O)cc1	IPRPPFIAVHPVJH-UHFFFAOYSA-N
4-Methyl-2-oxopentanoate	CC(C)CC(=O)C(=O)[O-]	BKAJNAXTPSGJCU-UHFFFAOYSA-M
4-Methyl-5-(2-hydroxyethyl)-thiazole	Cc1ncsc1CCO	BKAWJIRCKVUVED-UHFFFAOYSA-N
4-Methyl-5-(2-phosphoethyl)-thiazole	Cc1ncsc1CCOP(=O)([O-])[O-]	OCYMERZCMYJQQO-UHFFFAOYSA-L
4-Phospho-D-erythronate	O=C([O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-]	ZCZXOHUILRHRQJ-PWNYCUMCSA-K
4-Phospho-L-aspartate	[NH3+][C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-]	IXZNKTPIYKDIGG-REOHCLBHSA-L
4-amino-4-deoxychorismate	C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1[NH3+])C(=O)[O-]	OIUJHGOLFKDBSU-HTQZYQBOSA-M
4-aminobenzoyl-glutamate	C1=CC(=CC=C1C(=O)NC(CCC(=O)[O-])C(=O)[O-])N	GADGMZDHLQLZRI-VIFPVBQESA-L
5'-Deoxyadenosine	C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	XGYIMTFOTBMPFP-KQYNXXCUSA-N
5'-deoxyribose	C[C@@H](O)[C@@H](O)[C@@H](O)C=O	WDRISBUVHBMJEF-MROZADKFSA-N
5,10-Methenyltetrahydrofolate	Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2	MEANFMOQMXYMCT-OLZOCXBDSA-M
5,10-Methylenetetrahydrofolate	Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2	QYNUQALWYRSVHF-OLZOCXBDSA-L
5,6,7,8-Tetrahydrofolate	Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2	MSTNYGQPCMXVAQ-RYUDHWBXSA-L
5,6,7,8-tetrahydropteridine	c1ncc2c(n1)NCCN2	IDAICLIJTRXNER-UHFFFAOYSA-N
5,6-Dimethylbenzimidazole	Cc1cc2nc[nH]c2cc1C	LJUQGASMPRMWIW-UHFFFAOYSA-N
5,6-dihydrouracil	O=C1CCNC(=O)N1	OIVLITBTBDPEFK-UHFFFAOYSA-N
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1N	NOTGFIUVDGNKRI-UUOKFMHZSA-L
5-Amino-4-oxopentanoate	[NH3+]CC(=O)CCC(=O)[O-]	ZGXJTSGNIOSYLO-UHFFFAOYSA-N
5-Amino-6-(5'-phosphoribitylamino)uracil	Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])[nH]c(=O)[nH]c1=O	RQRINYISXYAZKL-RPDRRWSUSA-L
5-Amino-6-(5'-phosphoribosylamino)uracil	Nc1c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[nH]c(=O)[nH]c1=O	LZEXYCAGPMYXLX-UMMCILCDSA-L
5-Dehydro-4-deoxy-D-glucarate	O=C([O-])C(=O)C[C@H](O)[C@@H](O)C(=O)[O-]	QUURPCHWPQNNGL-ZAFYKAAXSA-L
5-Dehydro-D-gluconate	O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]	IZSRJDGCGRAUAR-MROZADKFSA-M
5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1NC=O	ABCOOORLYAOBOZ-KQYNXXCUSA-L
5-Formyltetrahydrofolate	Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2	VVIAGPKUTFNRDU-STQMWFEESA-L
5-Methyltetrahydrofolate	CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1	ZNOVTXRBGFNYRX-STQMWFEESA-L
5-Methylthio-D-ribose	CSC[C@@H](O)[C@@H](O)[C@@H](O)C=O	ACWASDPGAVYCNI-JKUQZMGJSA-N
