(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
(R)-Pantothenate	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-]	GHOKWGTUZJEAQD-ZETCQYMHSA-M
(R)-Propane-1,2-diol	C[C@@H](O)CO	DNIAPMSPPWPWGF-GSVOUGTGSA-N
(R)-S-Lactoylglutathione	C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]	VDYDCVUWILIYQF-CSMHCCOUSA-M
(S)-2-Aceto-2-hydroxybutanoate	CC[C@](O)(C(C)=O)C(=O)[O-]	VUQLHQFKACOHNZ-LURJTMIESA-M
(S)-2-Acetolactate	CC(=O)[C@](C)(O)C(=O)[O-]	NMDWGEGFJUBKLB-YFKPBYRVSA-M
(S)-2-Hydroxyglutarate	O=C([O-])CC[C@H](O)C(=O)[O-]	HWXBTNAVRSUOJR-VKHMYHEASA-L
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	Nc1c(C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	NAQGHJTUZRHGAC-ZZZDFHIKSA-J
(S)-3-Hydroxybutanoyl-CoA	C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	QHHKKMYHDBRONY-VKBDFPRVSA-J
(S)-3-Hydroxydecanoyl-CoA	CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	HIVSMYZAMUNFKZ-PNPVFPMQSA-J
(S)-3-Hydroxydodecanoyl-CoA	CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	IJFLXRCJWPKGKJ-LXIXEQKWSA-J
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	DEHLMTDDPWDRDR-BCIKBWLNSA-J
(S)-3-Hydroxyhexanoyl-CoA	CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	VAAHKRMGOFIORX-IKTBLOROSA-J
(S)-3-Hydroxyoctadecanoyl-CoA	CCCCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	WZMAIEGYXCOYSH-SFKGBVSGSA-N
(S)-3-Hydroxyoctanoyl-CoA	CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	ATVGTMKWKDUCMS-OTOYJEMWSA-J
(S)-3-Hydroxytetradecanoyl-CoA	CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	OXBHKMHNDGRDCZ-STLSENOWSA-J
(S)-3-Methyl-2-oxopentanoate	CC[C@H](C)C(=O)C(=O)[O-]	JVQYSWDUAOAHFM-BYPYZUCNSA-M
(S)-Dihydroorotate	O=C1C[C@@H](C(=O)[O-])NC(=O)N1	UFIVEPVSAGBUSI-REOHCLBHSA-M
(S)-Methylmalonyl-CoA	C[C@@H](C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	MZFOKIKEPGUZEN-IBNUZSNCSA-I
(S)-Propane-1,2-diol	C[C@H](O)CO	DNIAPMSPPWPWGF-VKHMYHEASA-N
1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	CCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCC	OQQOAWVKVDAJOI-UHFFFAOYSA-N
1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCC	HSQHRRHRYJNSOC-UHFFFAOYSA-N
1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCC	JEJLGIQLPYYGEE-XIFFEERXSA-N
1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC	JQTCHIYVEDEVBR-UHFFFAOYSA-N
1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC	UHUSDOQQWJGJQS-UHFFFAOYSA-N
1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(CO)OC(=O)CCCCCC=CCCCCCC	BGFRYQUZVKRYLY-UHFFFAOYSA-N
1,2-didodecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCCCCCCC	OKLASJZQBDJAPH-UHFFFAOYSA-M
1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCCCC=CCCCCCC	YLDMPBGXNLGSQO-UHFFFAOYSA-M
1,2-dihexadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCCCC	PORPENFLTBBHSG-MGBGTMOVSA-L
