Type	RxnName	Coefficient	Carbon	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17
constraint	biomass			0.04 	0.05 	0.06 	0.08 	0.09 	0.09 	0.09 	0.11 	0.11 	0.18 	0.18 	0.28 	0.28 	0.31 	0.31 	0.40 	0.41 
constraint	EX_glc__D_e			-0.90 	-1.16 	-1.11 	-1.67 	-1.67 	-1.80 	-1.80 	-1.98 	-1.98 	-2.80 	-2.80 	-4.22 	-4.22 	-4.59 	-4.59 	-5.65 	-5.84 
constraint	EX_ac_e			0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
flux	HEX1	{1}	6 	0.91 	1.19 	1.15 	1.67 	1.67 	1.80 	1.80 	2.11 	2.12 	2.84 	2.84 	4.31 	4.31 	4.62 	4.62 	5.71 	5.84 
flux	G6PDH2r	{1}	6 	0.26 	0.34 	0.34 	0.42 	0.51 	0.45 	0.54 	0.53 	0.65 	1.24 	1.28 	1.61 	1.67 	1.74 	1.80 	2.06 	2.09 
flux	PGL	{1}	6 	0.26 	0.34 	0.34 	0.42 	0.51 	0.45 	0.54 	0.53 	0.65 	1.24 	1.28 	1.61 	1.67 	1.74 	1.80 	2.06 	2.09 
flux	GND	{1}	6 	0.21 	0.27 	0.26 	0.31 	0.39 	0.34 	0.42 	0.39 	0.50 	0.97 	0.97 	1.23 	1.29 	1.33 	1.39 	1.65 	1.63 
flux	PGI	{1}	6 	0.65 	0.85 	0.81 	1.25 	1.16 	1.35 	1.25 	1.57 	1.46 	1.58 	1.55 	2.68 	2.63 	2.86 	2.80 	3.63 	3.73 
flux	PFK	{1}	6 	0.77 	1.00 	0.95 	1.40 	1.37 	1.52 	1.48 	1.77 	1.73 	2.12 	2.08 	3.31 	3.30 	3.53 	3.52 	4.44 	4.53 
flux	FBA	{1}	6 	0.77 	1.00 	0.95 	1.40 	1.37 	1.52 	1.48 	1.77 	1.73 	2.12 	2.08 	3.31 	3.30 	3.53 	3.52 	4.44 	4.53 
flux	TKT1	{1}	10 	0.07 	0.09 	0.09 	0.10 	0.13 	0.11 	0.14 	0.13 	0.16 	0.31 	0.31 	0.39 	0.41 	0.41 	0.43 	0.50 	0.49 
flux	TKT2	{1}	9 	0.05 	0.07 	0.06 	0.06 	0.09 	0.07 	0.10 	0.08 	0.11 	0.23 	0.23 	0.27 	0.29 	0.28 	0.30 	0.34 	0.33 
flux	TALA	{1}	10 	0.07 	0.09 	0.09 	0.10 	0.13 	0.11 	0.14 	0.13 	0.16 	0.31 	0.31 	0.39 	0.41 	0.41 	0.43 	0.50 	0.49 
flux	GAPD	{1}	3 	1.63 	2.14 	2.04 	2.97 	2.94 	3.21 	3.17 	3.74 	3.70 	4.72 	4.68 	7.24 	7.23 	7.73 	7.71 	9.59 	9.79 
flux	PGK	{1}	3 	-1.63 	-2.14 	-2.04 	-2.97 	-2.94 	-3.21 	-3.17 	-3.74 	-3.70 	-4.72 	-4.68 	-7.24 	-7.23 	-7.73 	-7.71 	-9.59 	-9.79 
flux	PGM	{1}	3 	-1.56 	-2.07 	-1.95 	-2.83 	-2.80 	-3.06 	-3.02 	-3.56 	-3.52 	-4.42 	-4.38 	-6.77 	-6.76 	-7.20 	-7.19 	-8.91 	-9.09 
flux	ENO	{1}	3 	1.56 	2.07 	1.95 	2.83 	2.80 	3.06 	3.02 	3.56 	3.52 	4.42 	4.38 	6.77 	6.76 	7.20 	7.19 	8.91 	9.09 
flux	PYK	{1}	3 	1.45 	2.04 	2.15 	3.44 	3.37 	3.19 	3.15 	3.51 	3.47 	4.58 	4.53 	5.48 	5.47 	6.85 	6.84 	6.86 	7.03 
flux	PDH	{1}	3 	1.47 	1.98 	2.26 	3.24 	3.17 	3.23 	3.21 	3.82 	3.79 	4.64 	4.63 	5.57 	5.55 	6.20 	6.19 	6.42 	6.55 
flux	CS	{1}	6 	1.26 	1.77 	1.53 	2.05 	2.02 	2.20 	2.17 	2.59 	2.57 	2.88 	2.88 	4.35 	4.34 	4.52 	4.50 	5.48 	5.58 
flux	ICDHyr	{1}	6 	1.14 	1.66 	0.92 	1.06 	1.08 	1.40 	1.36 	1.63 	1.61 	1.56 	1.56 	3.81 	3.80 	3.58 	3.56 	5.48 	5.58 
flux	FUM	{1}	4 	1.21 	1.73 	1.46 	1.91 	1.89 	2.05 	2.02 	2.43 	2.41 	2.61 	2.60 	3.94 	3.92 	4.05 	4.04 	4.91 	5.00 
flux	MDH	{1}	4 	1.24 	1.84 	1.87 	2.89 	2.82 	2.59 	2.55 	2.84 	2.82 	3.52 	3.51 	3.81 	3.80 	4.99 	4.98 	4.45 	4.58 
flux	{ME1;ME2}	{1;1}	3 	0.10 	0.00 	0.21 	0.00 	0.00 	0.26 	0.28 	0.56 	0.55 	0.41 	0.41 	0.67 	0.67 	0.00 	0.00 	0.46 	0.42 
flux	PPCK	{1}	4 	0.35 	0.66 	0.61 	1.19 	1.17 	0.86 	0.85 	0.72 	0.71 	1.16 	1.16 	0.64 	0.64 	1.83 	1.82 	0.88 	0.90 
flux	PPC	{1}	4 	0.42 	0.64 	0.35 	0.50 	0.53 	0.64 	0.63 	0.66 	0.65 	0.84 	0.83 	1.68 	1.67 	1.90 	1.89 	2.59 	2.61 
flux	ACKr	{1}	2 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
flux	MALS	{1}	4 	0.12 	0.11 	0.61 	0.98 	0.94 	0.80 	0.81 	0.97 	0.96 	1.33 	1.32 	0.54 	0.54 	0.94 	0.94 	0.00 	0.00 
