2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	CCCCCCC=CCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(CO)O
2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(CO)O
2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC(CO)O
(S)-2-Aceto-2-hydroxybutanoate	CCC(C(=O)C)(C(=O)O)O
2-Aminomalonate semialdehyde	C(=O)C(C(=O)[O-])[NH3+]
L-2-Amino-3-oxobutanoate	CC(=O)C(C(=O)O)N
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O
2-dehydro-3-deoxy-D-arabinonate	C(C(CO)O)C(=O)C(=O)[O-]
2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C(C(C(COP(=O)([O-])[O-])O)O)C(=O)C(=O)[O-]
2-Dehydro-3-deoxy-D-gluconate	C(C(C(CO)O)O)C(=O)C(=O)[O-]
2-Dehydro-3-deoxy-D-galactonate 6-phosphate	C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
2-Dehydro-3-deoxy-D-galactonate	C(C(C(CO)O)O)C(=O)C(=O)[O-]
2-Dehydro-L-gulonate	C(C(C(C(C(=O)C(=O)[O-])O)O)O)O
2-Dehydropantoate	CC(C)(CO)C(=O)C(=O)[O-]
2-Demethylmenaquinone 8	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C
2-Demethylmenaquinol 8	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C)C)C)C)C)C)C)C
2-Deoxy-D-ribose 1-phosphate	C1C(C(OC1OP(=O)(O)O)CO)O
2-Deoxy-D-ribose 5-phosphate	C(C=O)C(C(COP(=O)(O)O)O)O
2-Hydroxy-3-oxopropanoate	C(=O)C(C(=O)[O-])O
2-hexadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O
2-hydroxycyclohepta-1,4,6-triene-1-carboxylate	C1C=CC=CC(=C1[O-])C(=O)O
2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)C4=C(CC=CC=C4)O)O
2-Isopropylmaleate	CC(C)C(=CC(=O)O)C(=O)O
Cis-2-Methylaconitate	CC(=C(CC(=O)O)C(=O)O)C(=O)O
2-Methylcitrate	CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
2-C-methyl-D-erythritol 4-phosphate	CC(CO)(C(COP(=O)(O)O)O)O
2-C-methyl-D-erythritol 2,4-cyclodiphosphate	CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO
2-Oxobutanoate	CCC(=O)C(=O)O
2-octadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])[O-]
2-Octaprenyl-6-hydroxyphenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C
2-Octaprenyl-6-methoxy-1,4-benzoquinol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)O)OC)O)C)C)C)C)C)C)C)C
2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	CC1=C(C(=C(C(=C1O)O)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
