EnvIndex	Exchange	Condition	TargetMu	InitMu	FinalMu	AbsErr	InitUptake	FinalUptake	UptakeAbsErr	FeasibleInit	FeasibleFinal	NumKcatChangesThisEnv
1	r_1709	aerobic	0.338	0.848021942206078	0.848021942206087	0.510021942206087	43.1586483672919	43.1586483672921	2.27373675443232e-13	1	1	0
2	r_1710	aerobic	0.28	0.566070704837862	0.566070704837858	0.286070704837858	16.6418159870176	16.6418159870174	2.27373675443232e-13	1	1	0
3	r_1714	aerobic	0.41	0.98896545989712	0.988965459897103	0.578965459897103	59.20922959651	59.2092295965092	7.95807864051312e-13	1	1	0
4	r_1715	aerobic	0.33	0.710134736875376	0.710134736875391	0.380134736875391	58.8211001327344	58.8211001327352	7.95807864051312e-13	1	1	0
5	r_1634	aerobic	0.17	0.155485083023606	0.171808036309958	0.00180803630995829	11.9464682702802	13.1676746660618	1.22120639578156	1	1	1
6	r_1761	aerobic	0.12	0.226961528138292	0.226961528138219	0.106961528138219	8.19870522788347	8.19870522788221	1.25055521493778e-12	1	1	0
7	r_1931	aerobic	0.4	0.812843521217613	0.812843521217573	0.412843521217573	26.7616057605057	26.7616057605047	9.69890834312537e-13	1	1	0
8	r_2058	aerobic	0.39	0.850861793696177	0.850861793696177	0.460861793696177	43.3022376071784	43.3022376071784	0	1	1	0
