rxn_IDs	rxnNames	slope	grRules	rxn_formula
PRAIS	Phosphoribosylaminoimidazole synthase	0.0609501570185159	b2499	ATP[c] + 2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine[c] + 2.7725 prot_pool[c] => ADP[c] + 5-amino-1-(5-phospho-D-ribosyl)imidazole[c] + 2 H+[c] + Phosphate[c]
PRFGS	Phosphoribosylformylglycinamidine synthase	0.0609501570185159	b2557	ATP[c] + N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide[c] + L-Glutamine[c] + H2O[c] + 6.9987 prot_pool[c] => ADP[c] + 2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine[c] + L-Glutamate[c] + H+[c] + Phosphate[c]
AIRC3_REV	Phosphoribosylaminoimidazole carboxylase (mutase rxn) (reversible)	0.0609198191406784	b0523	5-phosphoribosyl-5-carboxyaminoimidazole[c] + 0.31731 prot_pool[c] => 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate[c]
PRASCSi	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	0.0609198191406784	b2476	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate[c] + L-Aspartate[c] + ATP[c] + 0.47017 prot_pool[c] => (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate[c] + ADP[c] + H+[c] + Phosphate[c]
ADSL2r	Adenylosuccinate lyase	0.0609198191406784	b1131	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate[c] + 0.73048 prot_pool[c] => 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide[c] + Fumarate[c]
AIRC2	Phosphoribosylaminoimidazole carboxylase	0.0609198191406784	b0522	5-amino-1-(5-phospho-D-ribosyl)imidazole[c] + ATP[c] + Bicarbonate[c] + 0.95685 prot_pool[c] => 5-phosphoribosyl-5-carboxyaminoimidazole[c] + ADP[c] + H+[c] + Phosphate[c]
NDPK2	Nucleoside-diphosphate kinase (ATP:UDP)	0.0578573260106481	b0474 or b2518	ATP[c] + UDP[c] + 0.0012132 prot_pool[c] => ADP[c] + UTP[c]
VALTA_REV	Valine transaminase (reversible)	0.0575687760604537	b3770	3-Methyl-2-oxobutanoate[c] + L-Glutamate[c] + 0.12142 prot_pool[c] => 2-Oxoglutarate[c] + L-Valine[c]
DDPA	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.0518490657558665	b2601 or b0754 or b1704	D-Erythrose 4-phosphate[c] + H2O[c] + Phosphoenolpyruvate[c] + 0.086544 prot_pool[c] => 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate[c] + Phosphate[c]
PSCVT	3-phosphoshikimate 1-carboxyvinyltransferase	0.0518490657558665	b0908	Phosphoenolpyruvate[c] + Shikimate 5-phosphate[c] + 0.12804 prot_pool[c] => 5-O-(1-Carboxyvinyl)-3-phosphoshikimate[c] + Phosphate[c]
SHK3Dr	Shikimate dehydrogenase	0.0518490657558665	b3281 or b1692	3-Dehydroshikimate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.034475 prot_pool[c] => Nicotinamide adenine dinucleotide phosphate[c] + Shikimate[c]
SHKK	Shikimate kinase	0.0518490657558665	b3390 or b0388	ATP[c] + Shikimate[c] + 0.088088 prot_pool[c] => ADP[c] + H+[c] + Shikimate 5-phosphate[c]
CHORS	Chorismate synthase	0.0518490657558665	b2329	5-O-(1-Carboxyvinyl)-3-phosphoshikimate[c] + 1.8385 prot_pool[c] => Chorismate[c] + Phosphate[c]
DHQS	3-dehydroquinate synthase	0.0518490657558665	b3389	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate[c] + 0.27187 prot_pool[c] => 3-Dehydroquinate[c] + Phosphate[c]
DHQTi	3-dehydroquinate dehydratase, irreversible	0.0518490657558665	b1693	3-Dehydroquinate[c] + 0.67887 prot_pool[c] => 3-Dehydroshikimate[c] + H2O[c]
