EnvIndex	Exchange	Condition	TargetMu	InitMu	FinalMu	AbsErr	InitUptake	FinalUptake	UptakeAbsErr	FeasibleInit	FeasibleFinal	NumKcatChangesThisEnv
1	EX_glc__D_e	aerobic	0.74	0.21373125842297	0.780822301129578	0.0408223011295781	15.0916073443617	43.8627962465329	28.7711889021712	1	1	18
2	EX_malt_e	aerobic	0.52	0.0808220244363352	0.675362770024005	0.155362770024005	0.641190157685287	5.2194261804508	4.57823602276551	1	1	2
3	EX_ac_e	aerobic	0.305	0.0702614317924653	0.440725568376286	0.135725568376286	4.07493331206365	19.790551980156	15.7156186680924	1	1	4
4	EX_acgam_e	aerobic	0.61	0.200525881304552	0.75526247621166	0.14526247621166	15.313765120334	11.011378068843	4.302387051491	1	1	0
5	EX_glyc_e	aerobic	0.47	0.194261349483591	0.698518799746167	0.228518799746168	27.5008578363197	16.8691140096399	10.6317438266798	1	1	0
6	EX_akg_e	aerobic	0.24	0.169942180291193	0.639933246970074	0.399933246970074	23.0604753754936	13.9665183346098	9.09395704088388	1	1	0
7	EX_ala__L_e	aerobic	0.24	0.117370317823719	0.543632104982786	0.303632104982786	21.5362439682037	14.0437406755808	7.49250329262293	1	1	0
8	EX_fru_e	aerobic	0.54	0.213041185152064	0.77578678026971	0.23578678026971	15.0539555587336	16.7289468028531	1.6749912441195	1	1	0
9	EX_gsn_e	aerobic	0.37	0.491247059017912	0.810910640712446	0.440910640712446	21.464353085893	17.3911771406364	4.07317594525659	1	1	0
10	EX_rib__D_e	aerobic	0.41	0.150062604175676	0.5980856412516	0.1880856412516	10.6826218716051	8.7395256935464	1.94309617805868	1	1	0
11	EX_gal_e	aerobic	0.24	0.171356144102266	0.671327085194144	0.431327085194144	6.87241460879898	11.1788688317092	4.30645422291025	1	1	0
12	EX_lac__L_e	aerobic	0.41	0.109124508105345	0.525180961142921	0.115180961142921	10.7365842145047	14.7635667618183	4.02698254731365	1	1	2
13	EX_glcn_e	aerobic	0.68	0.183478661327398	0.689521350532221	0.00952135053222092	8.55708296210707	10.8597453248598	2.3026623627527	1	1	3
14	EX_sbt__D_e	aerobic	0.48	0.213092215539711	0.776845472406239	0.296845472406239	15.0567398793232	12.706952813213	2.34978706611025	1	1	0
15	EX_gam_e	aerobic	0.4	0.20580109582614	0.774140420905218	0.374140420905218	14.3671313382864	16.2018846083702	1.83475327008375	1	1	0
16	EX_mal__L_e	aerobic	0.55	0.136048075526395	0.587310468465489	0.0373104684654887	15.6627888622209	14.2943116178576	1.36847724436325	1	1	0
17	EX_g6p_e	aerobic	0.78	0.212610210777805	0.784471218422906	0.00447121842290554	10.0202938200273	29.3678304516294	19.3475366316021	1	1	3
18	EX_mnl_e	aerobic	0.61	0.191166418023722	0.712273197993583	0.102273197993583	13.3039791600102	9.03712996810862	4.26684919190154	1	1	0
19	EX_tre_e	aerobic	0.48	0.227820117653916	0.94446215886673	0.46446215886673	8.06223222354777	26.7179495155751	18.6557172920274	1	1	0
20	EX_man_e	aerobic	0.38	0.213029546890384	0.77574056014264	0.39574056014264	15.053320551768	16.7280244296428	1.67470387787478	1	1	0
21	EX_xyl__D_e	aerobic	0.51	0.156105483755785	0.565423401522132	0.0554234015221318	7.69608696784337	7.9674612628304	0.271374294987027	1	1	0
