EnvIndex	Exchange	Condition	TargetMu	InitMu	FinalMu	AbsErr	InitUptake	FinalUptake	UptakeAbsErr	FeasibleInit	FeasibleFinal
1	EX_glc__D_e	aerobic	0.74	0.824690262578065	0.742110989700901	0.00211098970090118	49.1094190847602	44.0181967064651	5.09122237829513	1	1
2	EX_malt_e	aerobic	0.52	0.600076660789025	0.522915350403732	0.00291535040373214	11.3037622206093	9.97624569843958	1.32751652216973	1	1
3	EX_ac_e	aerobic	0.305	0.323755213013019	0.307845084268996	0.0028450842689956	14.8167845381174	14.1426541058127	0.674130432304764	1	1
4	EX_acgam_e	aerobic	0.61	0.706086505133469	0.617126665748575	0.00712666574857468	31.6178581479174	19.8262875902143	11.7915705577032	1	1
5	EX_glyc_e	aerobic	0.47	0.710415031575747	0.475005852711176	0.00500585271117598	82.1035869936995	31.0545918179704	51.0489951757291	1	1
6	EX_akg_e	aerobic	0.24	0.533962533797514	0.25542170359753	0.0154217035975296	58.9955004789409	5.00008586468334	53.9954146142576	1	1
7	EX_ala__L_e	aerobic	0.24	0.410081920882209	0.253038876111468	0.0130388761114682	17.3580358397606	6.87222087784983	10.4858149619108	1	1
8	EX_fru_e	aerobic	0.54	0.816319168900497	0.552800000100622	0.012800000100622	48.6457459778417	18.3582194861627	30.2875264916789	1	1
9	EX_gsn_e	aerobic	0.37	0.829958359197425	0.386517049908826	0.0165170499088255	34.4540905955247	4.89858602522122	29.5555045703035	1	1
10	EX_rib__D_e	aerobic	0.41	0.464168313506993	0.413516935436789	0.00351693543678916	26.8964142922973	8.67496200644314	18.2214522858542	1	1
11	EX_gal_e	aerobic	0.24	0.594532373896697	0.254987147039271	0.0149871470392711	26.1528817862784	3.24640363017033	22.9064781561081	1	1
12	EX_lac__L_e	aerobic	0.41	0.440106811735346	0.415022705956629	0.00502270595662885	32.9099336833541	31.2297102577113	1.68022342564279	1	1
13	EX_glcn_e	aerobic	0.68	0.682663903909247	0.682663903909247	0.00266390390924709	26.9507649309086	26.9507649309086	0	1	1
14	EX_sbt__D_e	aerobic	0.48	0.816927857145949	0.488781411783969	0.00878141178396868	48.6794610909178	16.4307583387573	32.2487027521605	1	1
15	EX_gam_e	aerobic	0.4	0.742567647432302	0.418625144295758	0.0186251442957583	43.0101068346282	6.50874220282969	36.5013646317985	1	1
16	EX_mal__L_e	aerobic	0.55	0.551693323888193	0.551693323888193	0.00169332388819343	72.578682112483	72.578682112483	0	1	1
17	EX_g6p_e	aerobic	0.78	0.780545910551434	0.780545910551434	0.000545910551433826	30.7489073056204	30.7489073056204	0	1	1
18	EX_mnl_e	aerobic	0.61	0.636121066169609	0.612528155832942	0.00252815583294164	21.4648984575132	20.15646262143	1.30843583608316	1	1
19	EX_tre_e	aerobic	0.48	0.846960105183307	0.494403760545323	0.0144037605453231	25.1714704764408	8.30001529063202	16.8714551858088	1	1
20	EX_man_e	aerobic	0.38	0.816180434775954	0.383241121165352	0.00324112116535175	48.638061524048	5.915549240107	42.722512283941	1	1
21	EX_xyl__D_e	aerobic	0.51	0.513371095001219	0.513371095001236	0.00337109500123611	20.6052969061603	20.6052969061607	3.41060513164848e-13	1	1
