pairID,enzymeID,rxnID,rxnName,kcat,kcatMin,kcatMax,newKcat,foldChange,logFold
4027,P40345,r_2942,"PE (1-18:0, 2-16:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.00248130632397754,NaN,NaN,0.000248130632397754,0.1,-2.30258509299405
4033,P40345,r_2945,"PE (1-16:1, 2-18:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.00407797061136098,NaN,NaN,0.000407797061136098,0.1,-2.30258509299405
4034,P40345,r_2945_REV,"PE (1-16:1, 2-18:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00292562975975014,NaN,NaN,0.000292562975975014,0.1,-2.30258509299405
4037,P40345,r_2947,"PE (1-18:1, 2-18:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.00785601116788382,NaN,NaN,0.000785601116788382,0.1,-2.30258509299405
4039,P40345,r_2948,"PC (1-16:0, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",0.00899135500478689,NaN,NaN,0.000899135500478688,0.1,-2.30258509299405
4045,P40345,r_2951,"PC (1-18:1, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",0.00225938183896246,NaN,NaN,0.000225938183896246,0.1,-2.30258509299405
4052,P40345,r_2954_REV,"PC (1-18:0, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane (reversible)",0.00210329973158297,NaN,NaN,0.000210329973158297,0.1,-2.30258509299405
4053,P40345,r_2955,"PC (1-18:1, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",0.00494615349056135,NaN,NaN,0.000494615349056135,0.1,-2.30258509299405
4061,P40345,r_2959,"PC (1-18:1, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",0.00390532407978434,NaN,NaN,0.000390532407978434,0.1,-2.30258509299405
4064,P40345,r_2960_REV,"PC (1-16:0, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.00316981530337463,NaN,NaN,0.000316981530337463,0.1,-2.30258509299405
4068,P40345,r_2962_REV,"PC (1-18:0, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.00214408569796259,NaN,NaN,0.000214408569796259,0.1,-2.30258509299405
4069,P40345,r_2963,"PC (1-18:1, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",0.000155744255367164,NaN,NaN,0.00155744255367164,10,2.30258509299405
4077,P40345,r_2967,"PC (1-18:1, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",0.00244914384336127,NaN,NaN,0.000244914384336127,0.1,-2.30258509299405
4084,P40345,r_2970_REV,"PC (1-18:0, 2-18:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane (reversible)",0.00236601970539416,NaN,NaN,0.000236601970539416,0.1,-2.30258509299405
4090,P40345,r_2973_REV,"PC (1-16:1, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.000339253115359957,NaN,NaN,0.00339253115358119,9.99999999994581,2.30258509298863
