rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0699_REV	leucine transaminase (reversible)	0.290415464500908	YJR148W	4-methyl-2-oxopentanoate[c] + L-glutamate[c] + 0.25907 prot_pool[c] => 2-oxoglutarate[c] + L-leucine[c]
r_0701	leucyl-tRNA synthetase	0.290415464500908	YPL160W	ATP[c] + L-leucine[c] + tRNA(Leu)[c] + 0.29043 prot_pool[c] => AMP[c] + diphosphate[c] + Leu-tRNA(Leu)[c]
r_0061	3-isopropylmalate dehydrogenase	0.290415464500908	YCL018W	(2R,3S)-3-isopropylmalate[c] + NAD[c] + 0.13104 prot_pool[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]
r_0512_EXP_2	glycyl-tRNA synthetase	0.284536597240329	YPR081C	ATP[c] + L-glycine[c] + tRNA(Gly)[c] + 1.2407 prot_pool[c] => AMP[c] + diphosphate[c] + Gly-tRNA(Gly)[c]
r_0916_EXP_1	phosphoribosylpyrophosphate synthetase	0.282011504444363	YKL181W and YER099C	ATP[c] + ribose-5-phosphate[c] + 5.2395 prot_pool[c] => AMP[c] + H+[c] + PRPP[c]
r_0018_EXP_1	2-aminoadipate transaminase	0.280421387237866	YER152C	2-oxoadipic acid[c] + L-glutamate[c] + 0.00051332 prot_pool[c] => 2-oxoglutarate[c] + L-2-aminoadipate[c]
r_0027	2-methylcitrate dehydratase	0.280421387237865	YDR234W	homocitrate[m] + 14.7876 prot_pool[c] => but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]
r_0542_EXP_1	homoacontinate hydratase	0.280421387237865	YJL200C	but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m] + 4.018 prot_pool[c] => homoisocitrate[m]
r_0545	homoisocitrate dehydrogenase	0.280421387237865	YIL094C	homoisocitrate[m] + NAD[m] + 2.0568 prot_pool[c] => 2-oxoadipic acid[m] + carbon dioxide[m] + NADH[m]
r_0678	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	0.280421387237865	YBR115C and YGL154C	ATP[c] + H+[c] + L-2-aminoadipate[c] + NADPH[c] + 2.8783 prot_pool[c] => AMP[c] + diphosphate[c] + L-allysine[c] + NADP(+)[c]
r_0711	lysyl-tRNA synthetase	0.280421387237865	YDR037W	ATP[c] + L-lysine[c] + tRNA(Lys)[c] + 0.44545 prot_pool[c] => AMP[c] + diphosphate[c] + Lys-tRNA(Lys)[c]
r_0988	saccharopine dehydrogenase (NAD, L-lysine forming)	0.280421387237865	YIR034C	H2O[c] + L-saccharopine[c] + NAD[c] + 0.27884 prot_pool[c] => 2-oxoglutarate[c] + H+[c] + L-lysine[c] + NADH[c]
r_0989	saccharopine dehydrogenase (NADP, L-glutamate forming)	0.280421387237865	YNR050C	H+[c] + L-allysine[c] + L-glutamate[c] + NADPH[c] + 0.099857 prot_pool[c] => H2O[c] + L-saccharopine[c] + NADP(+)[c]
