(+)-alpha-pinene	CC1=CCC2CC1C2(C)C	GRWFGVWFFZKLTI-UHFFFAOYSA-N
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CC[C@@H](O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)(O)O)[C@]1([H])[C@H](O)C2	PXHZOQNODUPJKC-MTLGCJAASA-N
(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@@]([H])([C@]([H])(C)CCC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]4O[C@@H](n5cnc6c(N)ncnc65)[C@H](O)[C@@H]4OP(=O)(O)O)CC[C@@]3([H])[C@]1([H])[C@H](O)C2	SZBMUAIJWNJARR-LUAYSRQUSA-N
(2E)-decenoyl-CoA	CCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	MGNBGCRQQFMNBM-YJHHLLFWSA-N
(2E)-docosenoyl-CoA	CCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	KRTIFNFQCJTGMV-DYAVHEMFSA-J
(2E)-dodecenoyl-CoA	CCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	IRFYVBULXZMEDE-DEEZISNZSA-N
(2E)-dodecenoyl-[ACP]	CCCCCCCCC/C=C/C(=O)S[*]	
(2E)-eicosenoyl-CoA	CCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	ROOFWBIMBMJYGA-XTSUOFIPSA-J
(2E)-heptadecenoyl-CoA	CCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	YDHQUKOTPYJJSE-WSFAOELFSA-J
(2E)-heptenoyl-CoA	CCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	PWHBHJPLLWGXPL-YSSUZGETSA-J
(2E)-hexacosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GGUUXBBWTGIIGE-KESUDTCVSA-J
(2E)-hexadecenoyl-CoA	CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	JUPAQFRKPHPXLD-MSHHSVQMSA-N
(2E)-hexenoyl-CoA	CCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	OINXHIBNZUUIMR-IXUYQXAASA-N
(2E)-hexenoyl-[ACP]	CCC/C=C/C(=O)S[*]	
(2E)-nonenoyl-CoA	CCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	HBLOTZDYPZAZLE-OWQWVSLFSA-J
(2E)-octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	NBCCUIHOHUKBMK-ZDDAFBBHSA-N
(2E)-octenal	CCCCC/C=C/C=O	LVBXEMGDVWVTGY-VOTSOKGWSA-N
(2E)-octenoate	CCCCC/C=C/C(=O)[O-]	CWMPPVPFLSZGCY-VOTSOKGWSA-M
(2E)-octenoyl-CoA	CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	CPSDNAXXKWVYIY-NTLMCJQISA-N
(2E)-pentadecenoyl-CoA	CCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	BUFWYEICGKLDLP-OUZMRWKYSA-J
(2E)-pentenoyl-CoA	CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GJSFKOVNQYGUGN-JQVZGLFNSA-J
(2E)-tetracosenoyl-CoA	CCCCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	UVJKZCSQLMWPMV-BWKDRKIHSA-J
(2E)-tetradecenoyl-CoA	CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	MBCVYCOKMMMWLX-YYMFEJJQSA-N
(2E)-tetradecenoyl-[ACP]	CCCCCCCCCCC/C=C/C(=O)S[*]	
(2E)-tricosenoyl-CoA	CCCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CAWFROVHOZZJJP-DFNRIUMZSA-J
(2E)-undecenoyl-CoA	CCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CAVMKINPGRCURL-PHHHIDLGSA-J
(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	CCCCCC=CCC=CCC=CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	DNBBSGAGPHVPCV-NDRFOXSTSA-J
(2E,6E)-farnesoate	CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)[O-]	WJHFZYAELPOJIV-IJFRVEDASA-M
(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	CCCCCC=CCC=CCC=CCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	ARCCYNRJAHXWRR-UTQMJIMISA-J
(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	XSIBQUOFLNIVEK-XPBIURITSA-N
(2R)-pristanal	CC(C)CCCC(C)CCCC(C)CCCC(C)C=O	IZJRIIWUSIGEAJ-UHFFFAOYSA-N
(2R)-pristanic acid	CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@@H](C)C(=O)O	PAHGJZDQXIOYTH-OKZBNKHCSA-N
(2R)-pristanoyl-CoA	CC(O)CC(=O)O	WHBMMWSBFZVSSR-UHFFFAOYSA-N
(2S)-pristanic acid	CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)[O-]	PAHGJZDQXIOYTH-UHFFFAOYSA-M
(2S)-pristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCC[C@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	XYJPSQPVCBNZHT-DHBXAFLLSA-N
(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA	CC(=CCCC(C)CCCC(C)C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	IBMCVYHEOHFMLP-UHFFFAOYSA-N
(2S,6R,10R)-trimethyl-hendecanoyl-CoA	CC(C)CCCC(C)CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	QCNISQOYPUIJJO-UHFFFAOYSA-N
(3R)-phytanic acid	CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O	RLCKHJSFHOZMDR-UHFFFAOYSA-N
(3R)-phytanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	NRJQGHHZMSOUEN-ZJGVPSKGSA-N
