(+)-alpha-pinene	CC1=CCC2CC1C2(C)C	GRWFGVWFFZKLTI-UHFFFAOYSA-N
2-methoxyestradiol-17beta	COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12	CQOQDQWUFQDJMK-SSTWWWIQSA-N
2-methoxyestrone	COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12	WHEUWNKSCXYKBU-QPWUGHHJSA-N
2-methyl-3-oxopropanoate	CC(C=O)C(=O)[O-]	VOKUMXABRRXHAR-UHFFFAOYSA-M
2-methylacetoacetyl-CoA	CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	NHNODHRSCRALBF-NQNBQJKNSA-N
2-methylbutyryl-CoA	CCC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	LYNVNYDEQMMNMZ-XGXNYEOVSA-N
2-methylbutyrylglycine	CCC(C)C(=O)NCC(=O)O	HOACIBQKYRHBOW-UHFFFAOYSA-N
2-methylcitrate	CC(C(=O)O)C(O)(CC(=O)O)C(=O)O	YNOXCRMFGMSKIJ-UHFFFAOYSA-N
2-methylglutaconic acid	C/C(=C\CC(=O)O)C(=O)O	JKGHDBJDBRBRNA-DUXPYHPUSA-N
2-methylglutaconyl-CoA	C/C(=C\CC(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	CDVNWVJDESFYAB-OSLWTUCKSA-I
2-naphthol	Oc1ccc2ccccc2c1	JWAZRIHNYRIHIV-UHFFFAOYSA-N
2-oxo-3-methylvalerate	CCC(C)C(=O)C(=O)O	JVQYSWDUAOAHFM-UHFFFAOYSA-N
2-oxoadipate	O=C([O-])CCCC(=O)C(=O)[O-]	FGSBNBBHOZHUBO-UHFFFAOYSA-L
2-oxobutyrate	CCC(=O)C(=O)[O-]	TYEYBOSBBBHJIV-UHFFFAOYSA-M
2-oxoglutaramate	NC(=O)CCC(=O)C(=O)O	COJBGNAUUSNXHX-UHFFFAOYSA-N
2-phenylacetamide	NC(=O)Cc1ccccc1	LSBDFXRDZJMBSC-UHFFFAOYSA-N
2-phospho-D-glycerate	O=C([O-])[C@@H](CO)OP(=O)([O-])[O-]	GXIURPTVHJPJLF-UWTATZPHSA-K
2-phosphoglycolate	O=C([O-])COP(=O)([O-])[O-]	ASCFNMCAHFUBCO-UHFFFAOYSA-K
2-trans,6-trans-farnesal	CC(C)=CCC/C(C)=C/CC/C(C)=C/C=O	YHRUHBBTQZKMEX-YFVJMOTDSA-N
2-trans-4-cis-decadienoyl-CoA	CCCCC/C=C\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	FASAKYLWSRDQOH-IMVFQKDNSA-J
2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	HGVXUTAEZALTIG-CVHRNCLZSA-N
2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	MMZJVINJFSRJOK-JSBHBCGUSA-N
2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	AVRCOFDAWHWKMB-MNTHWFIHSA-J
20-COOH-10,11-dihydro-LTB4	O=C(O)CCCC/C=C\C[C@H](O)CC/C=C/C=C\[C@H](O)CCCC(=O)O	BCZGHMCTSJAJRR-NSBXBVANSA-N
20-COOH-LTB4	O=C([O-])CCCC/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)[O-]	SXWGPVJGNOLNHT-DZLHYERWSA-L
20-COOH-LTE4	C(CCC(=O)O)CC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N	HVLRBLGTGJGVCX-RHSCJZQUSA-N
20-OH-10,11-dihydro-LTB4	O=C([O-])CCC[C@H](O)/C=C\C=C\CC[C@H](O)C/C=C\CCCCCO	XDXPWMISTPZJGX-XMIRPJDESA-M
20-OH-LTB4	O=C(O)CCC[C@H](O)/C=C\C=C\C=C\[C@H](O)C/C=C\CCCCCO	PTJFJXLGRSTECQ-PSPARDEHSA-N
20-OH-hepoxilin A3	O=C([O-])CCCC=CC[C@@H](O)C=CC1O[C@H]1CC=CCCCCCO	LZVJZZFRMLGREZ-YTYFACEESA-M
20-dihydroxy-LTB4	C(CCC(O)O)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O	ZZSBUQYGAPWEOJ-VFLUTPEKSA-N
20-hydroperoxy-H4-neuroprostane	CCC(/C=C/[C@H]1C2CC(OO2)[C@H]1C/C=C\C/C=C\C/C=C\CCC(=O)[O-])OO	YPAIJQRSSHCPIA-YPLHIKBESA-M
20-hydroxy-5S-HETE	O=C([O-])CCC[C@@H](O)C=CC=CCC=CCC=CCCCCCO	IWYJGYZCHKEPCK-IBGZPJMESA-M
20-hydroxy-D4-neuroprostane	CCC(O)/C=C/[C@H]1C(=O)CC(O)[C@H]1C/C=C\C/C=C\C/C=C\CCC(=O)[O-]	FUDAOIJHCQWTIE-LXOMGHNTSA-M
20-hydroxy-E4-neuroprostane	CCC(C=CC1C(CC(=O)C1CC=CCC=CCC=CCCC(=O)O)O)O	BIHPRUQXOKWQGU-KBUBQVDUSA-N
20-hydroxy-LTB5	O=C([O-])CCC[C@H](O)/C=C\C=C\C=C\[C@H](O)C/C=C\C/C=C\CCO	HWTDXMKSMSSMRU-JXSADARNSA-M
20-hydroxy-LTE4	N[C@@H](CS[C@H](/C=C/C=C/C=C\C/C=C\CCCCCO)[C@@H](O)CCCC(=O)O)C(=O)O	BJRMBXPQAMDCMG-CMJQBAFXSA-N
20-hydroxycholesterol	CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	MCKLJFJEQRYRQT-APGJSSKUSA-N
20-oxo-(5Z,8Z,11Z,14Z)-eicosatetraenoate	O=CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	IDPOCGHKMNIWBB-DTLRTWKJSA-M
20-oxo-LTB4	C(CCC=O)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O	LVLQYGYNBVIONY-PSPARDEHSA-N
20-oxo-LTE4	C(CCC=O)CC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N	DXFWBOQUFGDWDP-CMJQBAFXSA-N
20-trihydroxy-LTB4	C(CCC(O)(O)O)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O	UZWWTCBNUQJEPB-QAASZIRWSA-N
20alpha,22beta dihydroxycholesterol	CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	ISBSSBGEYIBVTO-TYKWNDPBSA-N
20alpha-hydroxy-4-pregnen-3-one	C[C@@H](O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	RWBRUCCWZPSBFC-SJOKZOANSA-N
21-deoxycortisol	CC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O	LCZBQMKVFQNSJR-UJPCIWJBSA-N
21-hydroxy-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate	CC(O)/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]	IXAMNXQQWDOFMN-NZONWQNASA-M
21-hydroxyallopregnanolone	CC12CCC(CC1CCC3C2CCC4(C3CCC4C(=O)CO)C)O	CYKYBWRSLLXBOW-GDYGHMJCSA-N
21-hydroxypregnenolone	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO	MOIQRAOBRXUWGN-WPWXJNKXSA-N
22-oxodocosanoate	O=CCCCCCCCCCCCCCCCCCCCCC(=O)[O-]	PYBWSGBQPKXKOQ-UHFFFAOYSA-M
22beta-hydroxycholesterol	CC(C)CC[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	RZPAXNJLEKLXNO-QUOSNDFLSA-N
23S,25,26-trihydroxyvitamin D3	CC(CC(CC(C)(CO)O)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	GDIBDBUYVICGLY-VVFBGWIOSA-N
23s,25-dihydroxyvitamin D3	CC(CC(CC(C)(C)O)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	JVBPQHSRTHJMLM-WTHMTOCBSA-N
24(R),25(R)-Varanoyl Coenzyme A	C[C@@H](CC[C@H](O)[C@@H](C)C(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H]1CCC2C3C(C[C@H](O)[C@]21C)C1(C)CC[C@@H](O)CC1C[C@H]3O	PXHZOQNODUPJKC-WYPPBEQDSA-J
24,25,26,27-Tetranor-23-Oxo-Hydroxyvitamin D3	CC(CC=O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	AOVGFTJYESGAEA-ZSCXDZJGSA-N
24,25-dihydrolanosterol	CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3	MBZYKEVPFYHDOH-BQNIITSRSA-N
24-Oxo-25(R)-Trihydroxycoprostanoyl Coenzyme A	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)(O)O)[C@]1([H])[C@H](O)C2	AWLXQJGPNLCTLM-YFXOTMPNSA-N
24-hydroxycholesterol	CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	IOWMKBFJCNLRTC-XWXSNNQWSA-N
24-oxo-1alpha,23,25-trihydroxyvitamin D3	CC(CC(C(=O)C(C)(C)O)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	ARRIBDAUGOLZSJ-QEEPAQDXSA-N
24-oxo-1alpha,25-dihydroxyvitamin D3	CC(CCC(=O)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	BWFQMABKLLTETH-YGQRWWDYSA-N
24R,25-dihyoxyvitamin D2	C=C1CCC(O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)/C=C/C(C)(O)C(C)(C)O	BPEQZNMKGFTMQE-XIMRHTDJSA-N
25(R)DHCA-CoA	CC(CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	SBYLHTNKEWSLBA-UVNMPUASSA-N
25(R)THCA-CoA	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CCC[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)(O)O)[C@]1([H])[C@H](O)C2	MNYDLIUNNOCPHG-FJWDCHQMSA-N
25(S)THCA-CoA	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CCC[C@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)(O)O)[C@]1([H])[C@H](O)C2	MNYDLIUNNOCPHG-SEGQUPMDSA-N
25-hydroxycholesterol	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	INBGSXNNRGWLJU-ZHHJOTBYSA-N
25-hydroxyvitamin D2	CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	KJKIIUAXZGLUND-ICCVIKJNSA-N
25-hydroxyvitamin D3-26,23-lactol	CC(CC1CC(C(O1)O)(C)O)C2CCC3C2(CCCC3=CC=C4CC(CCC4=C)O)C	SFOPTSUKUQDFIB-LSTZBGQISA-N
25-hydroxyvitamin D3-26,23-lactone	CC(CC1CC(C(=O)O1)(C)O)C2CCC3C2(CCCC3=CC=C4CC(CCC4=C)O)C	IJNDMZIDDKVXHR-MYEQSZOMSA-N
26-hydroxycholesterol	CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO	FYHRJWMENCALJY-CCDZVGGQSA-N
27-hydroxycholesterol	CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO	FYHRJWMENCALJY-YSQMORBQSA-N
27Alpha-Hydroxy-8-Dehydrocholesterol	CC(CCCC(C)C1CCC2C1(CCC3=C2CC=C4C3(CCC(C4)O)C)C)CO	WGJXMUYDCGMVJH-VGABTXQKSA-N
27alpha-hydroxy-7-dehydrocholesterol	CC(CO)CCC[C@@H](C)[C@H]1CC[C@@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C	GNWMMBWMZLEFJT-KXVNWASDSA-N
3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA	CCCCC/C=C\CC(O)CC/C=C/C=C\[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	NWGGHDWYXJUVMO-VUWTWQKASA-J
3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA	CCCCCC=CC[C@@H](O)C=CC=CCCC(=O)C[C@H](O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	MTOULHSNAKRXGD-YCGRRFPFSA-J
3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA	CCCCCC=CC[C@H](O)C=C/C=C/CCC(=O)CC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	MTOULHSNAKRXGD-PZBYHPJNSA-J
3(S)-Hydroxy-Cis-9-Octadecenoyl Coenzyme A	CCCCCCCC/C=C\CCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	LHAYYTCFPMUQNR-WNBYKCIMSA-J
3(S)-Phytanoyl Coenzyme A	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCCC(C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	NRJQGHHZMSOUEN-GHNRCNJJSA-J
3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA	CCCCC/C=C\C/C=C\CC(O)CC(=O)SCCNC(=O)OCNC(=O)C(O)C(C)(C)CCP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	TUMMXOLSCVKROK-IGNRKQBUSA-J
3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA	CCCCCC=CCC=CCC=CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	SHYOGNDOVWXSLL-HYIOPBCUSA-N
3(S)-hydroxy-11-cis-eicosenoyl-CoA	CCCCCCCC/C=C\CCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	PREOMQKNJXWCLZ-XSAVFXOCSA-J
3(S)-hydroxy-13-cis-docosenoyl-CoA	CCCCCCCCC=CCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	FIPHCVZAQUEADL-CBHKYYIOSA-J
3(S)-hydroxy-13-cis-eicosenoyl-CoA	C1=CC(=NN=C1N)Cl	DTXVKPOKPFWSFF-UHFFFAOYSA-N
3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA	CC(C)CC[C@H](O)[C@@H](C)C(=O)SCCN=C(O)CCN=C(O)[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	YAVFKXHHHJEEQF-IOYVKGSKSA-N
3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA	CC(C)CCC[C@@H](C)[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	AGRBRZWAKOHMRQ-PWLNTODLSA-N
3(S)-hydroxy-4-methyl-pentanoyl-CoA	CC(C)[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	FVDISPKCRAHPBJ-VDXNMNPRSA-N
3(S)-hydroxy-cis-15-tetracosaenoyl-CoA	CCCCCCCCC=CCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	SOQFCYAWKYIIHN-RNATUXINSA-J
3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	DALQBBQTVPOKDP-NEROYMAKSA-N
3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	KIDYDCLNVXONEF-DXMJZDBTSA-N
3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	JHXLRLHTJYMVBK-QHMZZPIESA-N
3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	VYZWWTGHKBYTPF-KHFKNKFYSA-N
3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	NNEPPYNERZEJEE-IOPBWTMASA-N
3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	DRQAURCKCKDINZ-MRBHEALXSA-N
3,3,5-Triiodothyroacetate	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)[O-])I)I)O	UOWZUVNAGUAEQC-UHFFFAOYSA-M
3,3-diiodo-L-thyronine-beta-D-glucuronoside	N[C@H](Cc1ccc(Oc2ccc(OC3O[C@H](C(=O)O)[C@H](O)[C@H](O)[C@@H]3O)c(I)c2)c(I)c1)C(=O)[O-]	ADIQFGLSNXTCEF-QDVJOMROSA-M
3,4-Dihydroxyphenylethanol	C1=CC(=C(C=C1CCO)O)O	JUUBCHWRXWPFFH-UHFFFAOYSA-N
3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	C1=CC(=CC(C1SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)Br	WIPMNDWTVDZAHE-JYBOHDQNSA-N
3,4-dihydroxy-5-all-trans-decaprenylbenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)C(=O)O)O)[O-])C)C)C)C)C)C)C)C)C)C	HGWUGDIATLOPBN-BHZQGFRMSA-M
3,4-dihydroxymandelaldehyde	O=C[C@H](O)c1ccc(O)c(O)c1	YUGMCLJIWGEKCK-QMMMGPOBSA-N
3,4-dihydroxymandelate	O=C([O-])[C@H](O)c1ccc(O)c(O)c1	RGHMISIYKIHAJW-SSDOTTSWSA-M
3,4-dihydroxyphenylacetaldehyde	O=CCc1ccc(O)c(O)c1	IADQVXRMSNIUEL-UHFFFAOYSA-N
3,4-dihydroxyphenylacetate	O=C([O-])Cc1ccc(O)c(O)c1	CFFZDZCDUFSOFZ-UHFFFAOYSA-M
3,4-dihydroxyphenylethyleneglycol	OC[C@H](O)c1ccc(O)c(O)c1	MTVWFVDWRVYDOR-QMMMGPOBSA-N
3,4-epoxynonanal	CCCCCC1OC1CC=O	HEXGZHJMMROIQO-UHFFFAOYSA-N
3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside	N[C@H](Cc1cc(I)c(Oc2cc(I)c(OC3O[C@H](C(=O)O)[C@H](O)[C@H](O)[C@@H]3O)c(I)c2)c(I)c1)C(=O)[O-]	RGHRJBIKIYUHEV-PWZDMWIRSA-M
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside	N[C@H](Cc1cc(I)c(Oc2ccc(OC3O[C@H](C(=O)O)[C@H](O)[C@H](O)[C@@H]3O)c(I)c2)c(I)c1)C(=O)[O-]	YYFGGGCINNGOLE-UKJVJLCYSA-M
3,5,3-triiodothyronine-4-sulfate	N[C@@H](Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O	XBQYQXVJBNDCGY-LBPRGKRZSA-N
3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine	C1=CSc2ccccc2N1	ZLILRRGWBOKBIG-UHFFFAOYSA-N
3,5-diiodo-L-thyronine	C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I	ZHSOTLOTTDYIIK-ZDUSSCGKSA-N
3,5-diiodo-L-thyronine-4-O-sulfate	[NH3+][C@H](Cc1ccc(Oc2cc(I)c(OS(=O)(=O)[O-])c(I)c2)cc1)C(=O)[O-]	BVGCAAVTXFZYKS-CYBMUJFWSA-M
3,5-diiodo-L-tyrosine	N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O	NYPYHUZRZVSYKL-ZETCQYMHSA-N
3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA	CCCCCC=CC[C@@H](O)/C=C/C=C/CCC(=O)CC(=O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	KPSNLEVFRZBSQC-BFOLZZJOSA-J
3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA	CCCCCC=CC[C@H](O)/C=C/C=C/CCC(=O)CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	KPSNLEVFRZBSQC-RGHILSQGSA-J
3-(3-Hydroxy-Phenyl)Propionate	O=C([O-])CCc1cccc(O)c1	QVWAEZJXDYOKEH-UHFFFAOYSA-M
3-(methylthio)propionic acid	CSCCC(=O)O	CAOMCZAIALVUPA-UHFFFAOYSA-N
3-Hydroxy Butyryl Carnitine	CC(O)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	UEFRDQSMQXDWTO-UHFFFAOYSA-N
